,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,-1.0,23.0,10.0,0.0,-2.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,-1.0,30.0,17.0,1.0,-2.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-1.0,-1.0,3.0,5.0,1.0,-1.0
2020-02-27T18:00:00,3.0,2.0,0.0,1.0,0.0,0.0,10.0,0.0,-1.0,7.0,5.0,2.0,-1.0
2020-02-28T18:00:00,1.0,2.0,0.0,2.0,0.0,0.0,213.0,-2.0,-2.0,-4.0,2.0,1.0,0.0
2020-02-29T17:00:00,9.0,3.0,0.0,10.0,0.0,0.0,373.0,0.0,-1.0,4.0,6.0,1.0,-1.0
2020-03-01T17:00:00,4.0,4.0,0.0,13.0,0.0,0.0,373.0,0.0,1.0,6.0,8.0,0.0,-1.0
2020-03-02T18:00:00,0.0,4.0,0.0,13.0,0.0,0.0,373.0,-1.0,5.0,17.0,10.0,0.0,-1.0
2020-03-03T18:00:00,13.0,11.0,0.0,19.0,0.0,0.0,405.0,-1.0,7.0,29.0,17.0,3.0,-2.0
2020-03-04T17:00:00,1.0,11.0,0.0,20.0,0.0,0.0,429.0,-5.0,2.0,-9.0,-9.0,-1.0,1.0
2020-03-05T17:00:00,14.0,12.0,0.0,33.0,0.0,0.0,471.0,-6.0,4.0,-1.0,-17.0,-16.0,5.0
2020-03-06T17:00:00,12.0,12.0,0.0,45.0,0.0,0.0,471.0,-14.0,-1.0,-25.0,-27.0,-18.0,7.0
2020-03-07T18:00:00,4.0,16.0,0.0,45.0,0.0,0.0,612.0,-22.0,4.0,-29.0,-28.0,-14.0,7.0
2020-03-08T18:00:00,40.0,30.0,7.0,63.0,1.0,0.0,980.0,-29.0,0.0,-20.0,-29.0,-8.0,6.0
2020-03-09T18:00:00,19.0,42.0,8.0,69.0,1.0,0.0,980.0,-26.0,2.0,-23.0,-37.0,-25.0,10.0
2020-03-10T18:00:00,7.0,33.0,8.0,85.0,1.0,0.0,1141.0,-44.0,-1.0,-43.0,-50.0,-34.0,15.0
2020-03-11T17:00:00,27.0,56.0,11.0,82.0,4.0,1.0,1375.0,-55.0,-17.0,-49.0,-59.0,-42.0,18.0
2020-03-12T17:00:00,25.0,56.0,11.0,107.0,4.0,1.0,1551.0,-70.0,-27.0,-65.0,-68.0,-51.0,23.0
2020-03-13T17:00:00,41.0,60.0,19.0,134.0,5.0,2.0,1671.0,-75.0,-33.0,-71.0,-73.0,-57.0,26.0
2020-03-14T17:00:00,52.0,72.0,17.0,154.0,23.0,6.0,1936.0,-83.0,-42.0,-81.0,-78.0,-59.0,24.0
2020-03-15T17:00:00,61.0,73.0,22.0,201.0,28.0,9.0,2213.0,-91.0,-61.0,-88.0,-85.0,-61.0,22.0
2020-03-16T17:00:00,67.0,103.0,22.0,238.0,28.0,9.0,2517.0,-77.0,-43.0,-76.0,-79.0,-62.0,27.0
2020-03-17T17:00:00,60.0,127.0,24.0,272.0,28.0,9.0,2685.0,-78.0,-45.0,-76.0,-79.0,-65.0,28.0
2020-03-18T17:00:00,0.0,127.0,24.0,272.0,28.0,9.0,2685.0,-79.0,-46.0,-77.0,-79.0,-65.0,28.0
2020-03-19T17:00:00,192.0,213.0,36.0,356.0,30.0,17.0,3544.0,-80.0,-48.0,-79.0,-80.0,-66.0,30.0
2020-03-20T17:00:00,97.0,130.0,41.0,531.0,30.0,17.0,3845.0,-81.0,-45.0,-81.0,-81.0,-67.0,31.0
