,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,2.0,1.0,1.0,0.0,1.0,0.0,124.0,4.0,-1.0,43.0,9.0,1.0,-2.0
2020-02-25T18:00:00,0.0,1.0,1.0,0.0,1.0,0.0,124.0,6.0,1.0,37.0,8.0,1.0,-3.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,3.0,0.0,124.0,1.0,1.0,13.0,3.0,2.0,-1.0
2020-02-27T18:00:00,0.0,0.0,0.0,0.0,3.0,0.0,552.0,2.0,0.0,11.0,2.0,1.0,0.0
2020-02-28T18:00:00,0.0,0.0,0.0,0.0,3.0,0.0,611.0,-2.0,-3.0,-2.0,0.0,1.0,0.0
2020-02-29T17:00:00,3.0,3.0,0.0,0.0,3.0,0.0,679.0,2.0,1.0,21.0,5.0,1.0,-1.0
2020-03-01T17:00:00,0.0,3.0,0.0,0.0,3.0,0.0,724.0,1.0,0.0,21.0,6.0,1.0,-1.0
2020-03-02T18:00:00,1.0,3.0,0.0,1.0,3.0,0.0,773.0,4.0,2.0,40.0,11.0,2.0,-2.0
2020-03-03T18:00:00,7.0,10.0,0.0,1.0,3.0,0.0,877.0,1.0,8.0,28.0,9.0,2.0,-2.0
2020-03-04T17:00:00,16.0,15.0,3.0,9.0,3.0,0.0,995.0,-5.0,4.0,-8.0,-11.0,1.0,1.0
2020-03-05T17:00:00,14.0,20.0,7.0,14.0,3.0,0.0,1175.0,-10.0,6.0,-7.0,-22.0,-15.0,6.0
2020-03-06T17:00:00,10.0,26.0,8.0,16.0,3.0,1.0,1373.0,-16.0,2.0,-15.0,-26.0,-16.0,8.0
2020-03-07T18:00:00,22.0,43.0,8.0,21.0,3.0,1.0,1582.0,-18.0,4.0,-3.0,-23.0,-8.0,5.0
2020-03-08T18:00:00,11.0,47.0,8.0,26.0,3.0,3.0,1929.0,-23.0,4.0,11.0,-30.0,-8.0,4.0
2020-03-09T18:00:00,15.0,55.0,8.0,31.0,3.0,5.0,1929.0,-28.0,2.0,-24.0,-39.0,-25.0,11.0
2020-03-10T18:00:00,14.0,50.0,15.0,34.0,11.0,6.0,3591.0,-44.0,-2.0,-37.0,-52.0,-36.0,17.0
2020-03-11T17:00:00,34.0,67.0,18.0,40.0,19.0,6.0,3591.0,-53.0,-15.0,-38.0,-60.0,-44.0,21.0
2020-03-12T17:00:00,50.0,85.0,20.0,67.0,19.0,9.0,5592.0,-72.0,-25.0,-63.0,-70.0,-55.0,28.0
2020-03-13T17:00:00,77.0,122.0,24.0,96.0,24.0,11.0,6491.0,-77.0,-32.0,-69.0,-75.0,-60.0,31.0
2020-03-14T17:00:00,80.0,181.0,25.0,114.0,24.0,13.0,7335.0,-84.0,-43.0,-79.0,-77.0,-56.0,24.0
2020-03-15T17:00:00,79.0,223.0,31.0,142.0,24.0,16.0,8345.0,-90.0,-55.0,-82.0,-82.0,-55.0,22.0
2020-03-16T17:00:00,87.0,267.0,31.0,174.0,32.0,19.0,9330.0,-76.0,-39.0,-74.0,-79.0,-64.0,30.0
2020-03-17T17:00:00,84.0,314.0,44.0,192.0,34.0,23.0,9436.0,-79.0,-43.0,-77.0,-80.0,-67.0,32.0
2020-03-18T17:00:00,117.0,374.0,44.0,232.0,42.0,32.0,11145.0,-80.0,-46.0,-77.0,-81.0,-68.0,32.0
2020-03-19T17:00:00,99.0,426.0,45.0,270.0,44.0,38.0,11145.0,-80.0,-46.0,-79.0,-82.0,-69.0,33.0
2020-03-20T17:00:00,185.0,537.0,47.0,328.0,53.0,43.0,13889.0,-81.0,-45.0,-81.0,-81.0,-68.0,34.0
2020-03-21T17:00:00,182.0,591.0,70.0,425.0,54.0,50.0,13889.0,-86.0,-53.0,-86.0,-81.0,-61.0,26.0
2020-03-22T17:00:00,193.0,671.0,79.0,522.0,58.0,53.0,17845.0,-94.0,-76.0,-91.0,-87.0,-62.0,24.0
2020-03-23T17:00:00,157.0,718.0,96.0,600.0,63.0,63.0,18371.0,-80.0,-47.0,-84.0,-83.0,-71.0,33.0
2020-03-24T17:00:00,188.0,747.0,94.0,704.0,103.0,80.0,18371.0,-82.0,-49.0,-84.0,-84.0,-72.0,34.0
2020-03-25T17:00:00,173.0,805.0,101.0,769.0,131.0,95.0,20669.0,-83.0,-50.0,-84.0,-84.0,-73.0,35.0
2020-03-26T17:00:00,195.0,878.0,113.0,844.0,155.0,106.0,22771.0,-85.0,-55.0,-87.0,-86.0,-74.0,37.0
2020-03-27T17:00:00,199.0,992.0,126.0,895.0,164.0,118.0,24106.0,-83.0,-49.0,-85.0,-84.0,-72.0,37.0
