,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,12.0,0.0,-1.0,0.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,38.0,13.0,1.0,-1.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,10.0,1.0,1.0,-1.0
2020-02-27T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,21.0,-1.0,0.0,0.0
2020-02-28T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,5.0,0.0,2.0,-1.0
2020-02-29T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,32.0,-4.0,-1.0,-5.0,-4.0,1.0,1.0
2020-03-01T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-2.0,2.0,14.0,0.0,0.0,0.0
2020-03-02T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,39.0,-2.0,1.0,8.0,-4.0,-2.0,0.0
2020-03-03T18:00:00,1.0,0.0,0.0,1.0,0.0,0.0,42.0,10.0,10.0,62.0,32.0,5.0,-2.0
2020-03-04T17:00:00,0.0,0.0,0.0,1.0,0.0,0.0,48.0,-2.0,4.0,1.0,-3.0,2.0,1.0
2020-03-05T17:00:00,0.0,0.0,0.0,1.0,0.0,0.0,54.0,-3.0,6.0,14.0,-16.0,-17.0,4.0
2020-03-06T17:00:00,2.0,1.0,0.0,2.0,0.0,0.0,63.0,-13.0,4.0,-11.0,-24.0,-19.0,7.0
2020-03-07T18:00:00,0.0,1.0,0.0,2.0,0.0,0.0,75.0,-22.0,2.0,-35.0,-37.0,-23.0,9.0
2020-03-08T18:00:00,1.0,2.0,0.0,2.0,0.0,0.0,123.0,-28.0,0.0,-23.0,-26.0,-11.0,7.0
2020-03-09T18:00:00,1.0,2.0,0.0,3.0,0.0,0.0,135.0,-23.0,1.0,-13.0,-29.0,-25.0,9.0
2020-03-10T18:00:00,2.0,2.0,0.0,5.0,0.0,0.0,148.0,-39.0,-1.0,-27.0,-41.0,-32.0,13.0
2020-03-11T17:00:00,1.0,1.0,1.0,6.0,0.0,0.0,155.0,-48.0,-17.0,-30.0,-46.0,-36.0,15.0
2020-03-12T17:00:00,0.0,1.0,1.0,6.0,0.0,0.0,155.0,-65.0,-27.0,-45.0,-61.0,-45.0,20.0
2020-03-13T17:00:00,2.0,1.0,1.0,8.0,0.0,0.0,155.0,-70.0,-32.0,-53.0,-65.0,-49.0,22.0
2020-03-14T17:00:00,0.0,0.0,2.0,8.0,0.0,0.0,155.0,-76.0,-37.0,-66.0,-71.0,-54.0,22.0
2020-03-15T17:00:00,1.0,0.0,2.0,9.0,0.0,0.0,208.0,-87.0,-61.0,-71.0,-76.0,-53.0,20.0
2020-03-16T17:00:00,1.0,1.0,2.0,9.0,0.0,0.0,230.0,-70.0,-35.0,-57.0,-71.0,-54.0,23.0
2020-03-17T17:00:00,8.0,5.0,2.0,13.0,0.0,0.0,262.0,-73.0,-45.0,-55.0,-71.0,-58.0,24.0
2020-03-18T17:00:00,7.0,9.0,2.0,16.0,0.0,0.0,262.0,-75.0,-45.0,-56.0,-72.0,-58.0,25.0
2020-03-19T17:00:00,10.0,8.0,5.0,24.0,0.0,0.0,353.0,-75.0,-48.0,-60.0,-75.0,-60.0,26.0
2020-03-20T17:00:00,15.0,8.0,5.0,39.0,0.0,0.0,443.0,-76.0,-45.0,-64.0,-76.0,-61.0,27.0
2020-03-21T17:00:00,14.0,12.0,7.0,47.0,0.0,0.0,522.0,-80.0,-47.0,-76.0,-79.0,-61.0,25.0
2020-03-22T17:00:00,15.0,13.0,10.0,58.0,0.0,0.0,643.0,-92.0,-87.0,-79.0,-83.0,-59.0,22.0
2020-03-23T17:00:00,9.0,15.0,12.0,62.0,0.0,1.0,696.0,-77.0,-46.0,-69.0,-79.0,-65.0,28.0
2020-03-24T17:00:00,2.0,14.0,12.0,65.0,0.0,1.0,744.0,-79.0,-51.0,-65.0,-79.0,-67.0,28.0
2020-03-25T17:00:00,21.0,20.0,14.0,78.0,0.0,1.0,857.0,-82.0,-56.0,-70.0,-80.0,-68.0,29.0
2020-03-26T17:00:00,21.0,22.0,16.0,95.0,0.0,1.0,1046.0,-82.0,-58.0,-71.0,-82.0,-69.0,31.0
2020-03-27T17:00:00,17.0,22.0,15.0,110.0,1.0,3.0,1254.0,-78.0,-45.0,-70.0,-80.0,-66.0,30.0
2020-03-28T17:00:00,31.0,26.0,19.0,133.0,1.0,3.0,1421.0,-82.0,-50.0,-78.0,-80.0,-63.0,27.0
2020-03-29T17:00:00,20.0,32.0,18.0,147.0,1.0,4.0,1585.0,-91.0,-84.0,-77.0,-86.0,-58.0,22.0
2020-03-30T17:00:00,12.0,36.0,18.0,154.0,1.0,5.0,1833.0,-79.0,-49.0,-66.0,-77.0,-64.0,27.0
2020-03-31T17:00:00,12.0,37.0,17.0,162.0,3.0,7.0,2043.0,-91.0,-46.0,-61.0,-76.0,-66.0,28.0
2020-04-01T17:00:00,11.0,39.0,15.0,171.0,3.0,9.0,2262.0,-91.0,-47.0,-66.0,-74.0,-67.0,28.0
2020-04-02T17:00:00,9.0,38.0,19.0,176.0,3.0,10.0,2427.0,-90.0,-42.0,-63.0,-75.0,-65.0,28.0
2020-04-03T17:00:00,15.0,41.0,19.0,187.0,3.0,11.0,2622.0,-82.0,-38.0,-66.0,-76.0,-65.0,29.0
2020-04-04T17:00:00,3.0,44.0,19.0,181.0,9.0,11.0,2765.0,-85.0,-45.0,-76.0,-79.0,-62.0,26.0
2020-04-05T17:00:00,14.0,46.0,18.0,190.0,11.0,13.0,2931.0,-93.0,-79.0,-78.0,-83.0,-59.0,22.0
2020-04-06T17:00:00,9.0,46.0,18.0,198.0,12.0,13.0,3061.0,-81.0,-43.0,-63.0,-75.0,-63.0,26.0
2020-04-07T17:00:00,4.0,47.0,17.0,201.0,12.0,14.0,3160.0,-79.0,-41.0,-59.0,-74.0,-64.0,26.0
2020-04-08T17:00:00,6.0,48.0,17.0,205.0,13.0,14.0,3296.0,-79.0,-37.0,-61.0,-72.0,-63.0,25.0
2020-04-09T17:00:00,6.0,50.0,17.0,208.0,13.0,15.0,3474.0,-78.0,-32.0,-59.0,-72.0,-63.0,26.0
2020-04-10T17:00:00,5.0,59.0,15.0,205.0,14.0,15.0,3696.0,-77.0,-24.0,-63.0,-71.0,-63.0,27.0
2020-04-11T17:00:00,4.0,60.0,12.0,209.0,14.0,17.0,4050.0,-82.0,-41.0,-73.0,-75.0,-61.0,25.0
2020-04-12T17:00:00,3.0,61.0,12.0,204.0,20.0,18.0,4355.0,-93.0,-90.0,-79.0,-86.0,-62.0,23.0
2020-04-13T17:00:00,4.0,64.0,12.0,194.0,31.0,18.0,4545.0,-94.0,-94.0,-70.0,-90.0,-84.0,34.0
2020-04-14T17:00:00,0.0,62.0,12.0,191.0,35.0,19.0,4759.0,-80.0,-47.0,-60.0,-72.0,-63.0,26.0
2020-04-15T17:00:00,1.0,60.0,12.0,189.0,38.0,21.0,5037.0,-78.0,-41.0,-61.0,-71.0,-61.0,26.0
2020-04-16T17:00:00,16.0,60.0,9.0,204.0,41.0,22.0,5349.0,-77.0,-40.0,-58.0,-70.0,-60.0,25.0
2020-04-17T17:00:00,1.0,59.0,9.0,198.0,49.0,22.0,5710.0,-76.0,-34.0,-61.0,-69.0,-60.0,26.0
2020-04-18T17:00:00,2.0,60.0,8.0,194.0,54.0,23.0,6056.0,-80.0,-44.0,-70.0,-74.0,-56.0,23.0
2020-04-19T17:00:00,3.0,59.0,8.0,180.0,71.0,24.0,6528.0,-91.0,-86.0,-71.0,-82.0,-52.0,20.0
2020-04-20T17:00:00,0.0,59.0,7.0,176.0,76.0,24.0,6868.0,-76.0,-46.0,-65.0,-71.0,-59.0,25.0
2020-04-21T17:00:00,8.0,64.0,7.0,174.0,81.0,24.0,7470.0,-75.0,-43.0,-58.0,-72.0,-59.0,25.0
2020-04-22T17:00:00,4.0,65.0,7.0,160.0,98.0,24.0,8040.0,-78.0,-49.0,-65.0,-73.0,-59.0,26.0
2020-04-23T17:00:00,2.0,61.0,7.0,161.0,103.0,24.0,8511.0,-77.0,-43.0,-62.0,-72.0,-59.0,26.0
2020-04-24T17:00:00,4.0,59.0,7.0,163.0,107.0,24.0,9026.0,-70.0,-19.0,-58.0,-67.0,-57.0,24.0
2020-04-25T17:00:00,1.0,58.0,7.0,153.0,118.0,25.0,9792.0,-92.0,-92.0,-73.0,-85.0,-70.0,28.0
2020-04-26T17:00:00,5.0,57.0,7.0,155.0,122.0,25.0,10077.0,-89.0,-84.0,-72.0,-80.0,-49.0,19.0
2020-04-27T17:00:00,0.0,57.0,7.0,153.0,124.0,25.0,10364.0,-69.0,-31.0,-56.0,-67.0,-54.0,22.0
2020-04-28T17:00:00,0.0,56.0,7.0,142.0,136.0,25.0,10889.0,-71.0,-38.0,-51.0,-67.0,-55.0,21.0
2020-04-29T17:00:00,0.0,51.0,4.0,139.0,147.0,25.0,11331.0,-71.0,-35.0,-54.0,-65.0,-54.0,22.0
2020-04-30T17:00:00,1.0,49.0,4.0,139.0,150.0,25.0,12774.0,-66.0,-18.0,-50.0,-63.0,-54.0,21.0
2020-05-01T17:00:00,11.0,49.0,4.0,140.0,160.0,25.0,13269.0,-91.0,-91.0,-64.0,-86.0,-79.0,32.0
2020-05-02T17:00:00,2.0,48.0,4.0,139.0,164.0,25.0,13722.0,-75.0,-33.0,-69.0,-68.0,-52.0,22.0
2020-05-03T17:00:00,6.0,48.0,3.0,143.0,167.0,25.0,14210.0,-89.0,-83.0,-70.0,-80.0,-45.0,19.0
2020-05-04T17:00:00,0.0,50.0,3.0,120.0,188.0,25.0,14901.0,-55.0,-23.0,-36.0,-51.0,-45.0,16.0
2020-05-05T17:00:00,10.0,50.0,3.0,124.0,194.0,25.0,15476.0,-57.0,-27.0,-24.0,-51.0,-47.0,17.0
2020-05-06T17:00:00,3.0,47.0,3.0,122.0,202.0,25.0,16103.0,-58.0,-26.0,-34.0,-48.0,-45.0,17.0
2020-05-07T17:00:00,-16.0,48.0,2.0,105.0,202.0,26.0,16272.0,-57.0,-23.0,-31.0,-51.0,-45.0,17.0
2020-05-08T17:00:00,-1.0,48.0,2.0,102.0,204.0,26.0,16777.0,-57.0,-21.0,-31.0,-52.0,-45.0,18.0
