,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,3.0,2.0,0.0,1.0,0.0,0.0,141.0,1.0,0.0,23.0,4.0,0.0,-1.0
2020-02-25T18:00:00,0.0,2.0,0.0,1.0,0.0,0.0,141.0,1.0,0.0,5.0,7.0,1.0,-1.0
2020-02-26T18:00:00,0.0,2.0,0.0,1.0,0.0,0.0,156.0,-1.0,1.0,3.0,0.0,0.0,0.0
2020-02-27T18:00:00,-1.0,2.0,0.0,0.0,0.0,0.0,156.0,2.0,0.0,22.0,3.0,0.0,0.0
2020-02-28T18:00:00,9.0,7.0,0.0,4.0,0.0,0.0,227.0,1.0,0.0,15.0,0.0,0.0,0.0
2020-02-29T17:00:00,0.0,7.0,0.0,4.0,0.0,0.0,308.0,2.0,1.0,23.0,4.0,0.0,0.0
2020-03-01T17:00:00,38.0,11.0,2.0,36.0,0.0,0.0,362.0,1.0,1.0,25.0,5.0,0.0,0.0
2020-03-02T18:00:00,2.0,12.0,2.0,37.0,0.0,0.0,434.0,-3.0,2.0,28.0,5.0,-3.0,0.0
2020-03-03T18:00:00,5.0,13.0,3.0,40.0,0.0,0.0,458.0,-8.0,15.0,17.0,3.0,1.0,0.0
2020-03-04T17:00:00,26.0,26.0,13.0,43.0,0.0,0.0,543.0,-4.0,1.0,25.0,-21.0,-13.0,5.0
2020-03-05T17:00:00,26.0,43.0,17.0,46.0,0.0,2.0,543.0,-14.0,-3.0,-23.0,-27.0,-15.0,7.0
2020-03-06T17:00:00,35.0,57.0,30.0,52.0,0.0,4.0,793.0,-13.0,0.0,4.0,-25.0,-15.0,8.0
2020-03-07T18:00:00,64.0,110.0,38.0,54.0,0.0,5.0,1046.0,-15.0,2.0,26.0,-17.0,-8.0,5.0
2020-03-08T18:00:00,153.0,245.0,45.0,65.0,0.0,5.0,1636.0,-34.0,5.0,-2.0,-25.0,-8.0,6.0
2020-03-09T18:00:00,-10.0,222.0,50.0,65.0,0.0,13.0,1681.0,-31.0,-2.0,-19.0,-42.0,-24.0,12.0
2020-03-10T18:00:00,103.0,306.0,66.0,64.0,0.0,17.0,2374.0,-43.0,-7.0,-21.0,-51.0,-30.0,16.0
2020-03-11T17:00:00,48.0,319.0,75.0,86.0,0.0,21.0,2431.0,-50.0,-14.0,-19.0,-56.0,-35.0,19.0
2020-03-12T17:00:00,79.0,368.0,97.0,89.0,0.0,26.0,2879.0,-69.0,-23.0,-57.0,-66.0,-44.0,24.0
2020-03-13T17:00:00,260.0,556.0,135.0,103.0,0.0,46.0,3105.0,-73.0,-26.0,-51.0,-69.0,-50.0,28.0
2020-03-14T17:00:00,33.0,538.0,150.0,126.0,0.0,59.0,3680.0,-84.0,-44.0,-77.0,-75.0,-55.0,26.0
2020-03-15T17:00:00,238.0,726.0,171.0,133.0,0.0,81.0,4375.0,-90.0,-61.0,-78.0,-80.0,-52.0,22.0
2020-03-16T17:00:00,405.0,1045.0,186.0,174.0,0.0,111.0,5588.0,-73.0,-35.0,-58.0,-73.0,-56.0,27.0
2020-03-17T17:00:00,381.0,1378.0,206.0,180.0,0.0,133.0,6543.0,-75.0,-38.0,-56.0,-73.0,-59.0,29.0
2020-03-18T17:00:00,444.0,1780.0,227.0,180.0,0.0,154.0,7516.0,-77.0,-42.0,-61.0,-75.0,-60.0,30.0
2020-03-19T17:00:00,591.0,2279.0,257.0,218.0,3.0,175.0,8853.0,-77.0,-41.0,-65.0,-76.0,-61.0,31.0
2020-03-20T17:00:00,529.0,1541.0,280.0,1423.0,8.0,209.0,9975.0,-79.0,-37.0,-71.0,-76.0,-62.0,33.0
2020-03-21T17:00:00,291.0,1976.0,301.0,1229.0,8.0,238.0,10701.0,-86.0,-51.0,-82.0,-79.0,-59.0,26.0
2020-03-22T17:00:00,668.0,2118.0,308.0,1701.0,10.0,283.0,12701.0,-94.0,-82.0,-91.0,-86.0,-59.0,24.0
2020-03-23T17:00:00,441.0,2194.0,343.0,1992.0,17.0,315.0,13560.0,-80.0,-45.0,-79.0,-81.0,-69.0,33.0
2020-03-24T17:00:00,654.0,2404.0,360.0,2360.0,17.0,374.0,15469.0,-81.0,-46.0,-77.0,-80.0,-70.0,34.0
2020-03-25T17:00:00,509.0,2544.0,381.0,2631.0,19.0,449.0,16655.0,-82.0,-49.0,-80.0,-81.0,-70.0,35.0
2020-03-26T17:00:00,510.0,2633.0,408.0,2909.0,135.0,449.0,18054.0,-83.0,-49.0,-80.0,-82.0,-73.0,36.0
2020-03-27T17:00:00,558.0,2852.0,431.0,3064.0,176.0,569.0,19705.0,-83.0,-45.0,-80.0,-81.0,-72.0,38.0
2020-03-28T17:00:00,579.0,3094.0,439.0,3318.0,203.0,617.0,21511.0,-87.0,-54.0,-83.0,-80.0,-62.0,27.0
2020-03-29T17:00:00,535.0,2985.0,443.0,3840.0,254.0,684.0,24058.0,-94.0,-82.0,-89.0,-85.0,-59.0,23.0
2020-03-30T17:00:00,506.0,2985.0,452.0,4218.0,308.0,749.0,25478.0,-82.0,-47.0,-79.0,-80.0,-71.0,34.0
2020-03-31T17:00:00,589.0,3174.0,452.0,4456.0,365.0,854.0,27658.0,-90.0,-42.0,-77.0,-79.0,-71.0,34.0
2020-04-01T17:00:00,494.0,3146.0,453.0,4871.0,439.0,886.0,30060.0,-90.0,-40.0,-75.0,-78.0,-70.0,34.0
2020-04-02T17:00:00,558.0,3341.0,453.0,5005.0,571.0,983.0,32100.0,-89.0,-39.0,-73.0,-78.0,-70.0,35.0
2020-04-03T17:00:00,543.0,3300.0,452.0,5378.0,723.0,1043.0,34281.0,-85.0,-36.0,-74.0,-78.0,-70.0,37.0
