,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-1.0,23.0,4.0,0.0,0.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,32.0,8.0,0.0,-1.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,3.0,0.0,0.0
2020-02-27T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,0.0
2020-02-28T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0.0
2020-02-29T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,20.0,5.0,1.0,0.0
2020-03-01T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,29.0,-1.0,0.0,5.0,3.0,0.0,0.0
2020-03-02T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,29.0,-2.0,1.0,23.0,6.0,0.0,0.0
2020-03-03T18:00:00,1.0,1.0,0.0,0.0,0.0,0.0,29.0,5.0,6.0,43.0,19.0,3.0,-2.0
2020-03-04T17:00:00,1.0,1.0,0.0,1.0,0.0,0.0,42.0,-1.0,4.0,8.0,-3.0,1.0,1.0
2020-03-05T17:00:00,0.0,2.0,0.0,0.0,0.0,0.0,50.0,-4.0,5.0,7.0,-15.0,-15.0,5.0
2020-03-06T17:00:00,3.0,2.0,0.0,3.0,0.0,0.0,99.0,-11.0,2.0,-10.0,-20.0,-16.0,6.0
2020-03-07T18:00:00,0.0,2.0,0.0,3.0,0.0,0.0,99.0,-18.0,3.0,-13.0,-23.0,-19.0,6.0
2020-03-08T18:00:00,6.0,5.0,0.0,6.0,0.0,0.0,149.0,-19.0,6.0,15.0,-16.0,-6.0,4.0
2020-03-09T18:00:00,8.0,8.0,0.0,11.0,0.0,0.0,185.0,-27.0,4.0,-30.0,-35.0,-24.0,10.0
2020-03-10T18:00:00,1.0,9.0,0.0,11.0,0.0,0.0,204.0,-41.0,3.0,-20.0,-41.0,-30.0,13.0
2020-03-11T17:00:00,17.0,10.0,0.0,27.0,0.0,0.0,283.0,-53.0,-19.0,-30.0,-50.0,-37.0,16.0
2020-03-12T17:00:00,2.0,12.0,0.0,27.0,0.0,0.0,302.0,-69.0,-27.0,-51.0,-60.0,-46.0,21.0
2020-03-13T17:00:00,4.0,12.0,0.0,31.0,0.0,0.0,504.0,-73.0,-31.0,-58.0,-64.0,-51.0,23.0
