,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,140.0,5.0,0.0,75.0,13.0,1.0,-2.0
2020-02-25T18:00:00,2.0,2.0,0.0,0.0,0.0,0.0,296.0,4.0,2.0,30.0,11.0,1.0,-2.0
2020-02-26T18:00:00,0.0,2.0,0.0,0.0,0.0,0.0,363.0,1.0,3.0,9.0,3.0,1.0,0.0
2020-02-27T18:00:00,0.0,2.0,0.0,0.0,0.0,0.0,410.0,2.0,1.0,21.0,2.0,1.0,0.0
2020-02-28T18:00:00,6.0,5.0,0.0,2.0,1.0,0.0,437.0,0.0,0.0,9.0,0.0,1.0,0.0
2020-02-29T17:00:00,3.0,7.0,0.0,3.0,1.0,0.0,531.0,2.0,0.0,28.0,3.0,0.0,-1.0
2020-03-01T17:00:00,2.0,7.0,0.0,5.0,1.0,0.0,572.0,2.0,1.0,28.0,6.0,0.0,-1.0
2020-03-02T18:00:00,0.0,7.0,0.0,5.0,1.0,0.0,613.0,4.0,3.0,71.0,15.0,1.0,-2.0
2020-03-03T18:00:00,6.0,10.0,0.0,8.0,1.0,0.0,697.0,1.0,11.0,20.0,9.0,0.0,0.0
2020-03-04T17:00:00,19.0,15.0,2.0,20.0,1.0,0.0,776.0,-4.0,1.0,0.0,-11.0,0.0,1.0
2020-03-05T17:00:00,23.0,26.0,3.0,31.0,1.0,0.0,776.0,-14.0,-1.0,-27.0,-26.0,-13.0,7.0
2020-03-06T17:00:00,18.0,35.0,5.0,38.0,1.0,0.0,1097.0,-13.0,1.0,-9.0,-26.0,-14.0,7.0
2020-03-07T18:00:00,34.0,54.0,7.0,51.0,1.0,0.0,1331.0,-18.0,2.0,14.0,-23.0,-14.0,6.0
2020-03-08T18:00:00,53.0,91.0,7.0,67.0,1.0,0.0,1618.0,-23.0,-3.0,13.0,-21.0,-8.0,5.0
2020-03-09T18:00:00,42.0,107.0,9.0,90.0,1.0,1.0,2018.0,-28.0,-1.0,-34.0,-38.0,-19.0,10.0
2020-03-10T18:00:00,56.0,91.0,40.0,129.0,3.0,1.0,2573.0,-42.0,-4.0,-26.0,-45.0,-27.0,15.0
2020-03-11T17:00:00,56.0,87.0,54.0,173.0,5.0,1.0,2804.0,-51.0,-17.0,-31.0,-52.0,-34.0,18.0
2020-03-12T17:00:00,44.0,100.0,59.0,193.0,7.0,5.0,3165.0,-70.0,-24.0,-68.0,-64.0,-44.0,25.0
