,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,4.0,2.0,-1.0,0.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,73.0,12.0,-1.0,-1.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,13.0,4.0,1.0,-1.0
2020-02-27T18:00:00,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,15.0,5.0,1.0,0.0
2020-02-28T18:00:00,2.0,1.0,0.0,2.0,0.0,0.0,242.0,-3.0,-2.0,4.0,3.0,1.0,0.0
2020-02-29T17:00:00,0.0,1.0,0.0,2.0,0.0,0.0,252.0,-3.0,-1.0,-7.0,2.0,-1.0,1.0
2020-03-01T17:00:00,0.0,1.0,0.0,2.0,0.0,0.0,262.0,-1.0,1.0,5.0,5.0,0.0,0.0
2020-03-02T18:00:00,1.0,2.0,0.0,2.0,0.0,0.0,278.0,-6.0,2.0,-3.0,4.0,-2.0,1.0
2020-03-03T18:00:00,2.0,2.0,0.0,4.0,0.0,0.0,298.0,1.0,7.0,76.0,26.0,0.0,-1.0
2020-03-04T17:00:00,3.0,4.0,0.0,3.0,1.0,1.0,322.0,-3.0,5.0,7.0,-11.0,0.0,1.0
2020-03-05T17:00:00,5.0,5.0,1.0,6.0,1.0,1.0,359.0,-5.0,6.0,4.0,-21.0,-16.0,5.0
2020-03-06T17:00:00,3.0,5.0,1.0,9.0,1.0,1.0,395.0,-13.0,2.0,-14.0,-29.0,-17.0,7.0
2020-03-07T18:00:00,9.0,9.0,2.0,12.0,1.0,2.0,395.0,-22.0,4.0,-28.0,-34.0,-18.0,8.0
2020-03-08T18:00:00,14.0,17.0,3.0,16.0,1.0,3.0,627.0,-32.0,3.0,-15.0,-36.0,-11.0,8.0
2020-03-09T18:00:00,10.0,20.0,6.0,20.0,1.0,3.0,685.0,-24.0,4.0,-12.0,-39.0,-23.0,9.0
2020-03-10T18:00:00,9.0,28.0,6.0,21.0,1.0,3.0,747.0,-41.0,1.0,-38.0,-50.0,-31.0,14.0
2020-03-11T17:00:00,18.0,38.0,4.0,29.0,1.0,5.0,909.0,-50.0,-15.0,-39.0,-58.0,-36.0,16.0
2020-03-12T17:00:00,27.0,58.0,2.0,38.0,1.0,5.0,1269.0,-66.0,-26.0,-59.0,-67.0,-47.0,21.0
2020-03-13T17:00:00,25.0,77.0,2.0,42.0,3.0,5.0,1449.0,-70.0,-31.0,-63.0,-72.0,-52.0,24.0
2020-03-14T17:00:00,37.0,91.0,6.0,59.0,2.0,8.0,1681.0,-78.0,-38.0,-75.0,-76.0,-56.0,24.0
2020-03-15T17:00:00,64.0,116.0,6.0,90.0,2.0,16.0,2017.0,-90.0,-62.0,-82.0,-82.0,-58.0,23.0
2020-03-16T17:00:00,0.0,116.0,6.0,90.0,2.0,16.0,2017.0,-72.0,-38.0,-68.0,-78.0,-56.0,24.0
2020-03-17T17:00:00,110.0,155.0,14.0,151.0,2.0,18.0,3077.0,-75.0,-44.0,-69.0,-78.0,-59.0,26.0
2020-03-18T17:00:00,43.0,156.0,30.0,176.0,2.0,19.0,3433.0,-75.0,-44.0,-72.0,-79.0,-60.0,26.0
2020-03-19T17:00:00,95.0,173.0,31.0,245.0,4.0,25.0,4046.0,-76.0,-46.0,-74.0,-80.0,-61.0,27.0
2020-03-20T17:00:00,103.0,191.0,31.0,329.0,4.0,26.0,4789.0,-76.0,-42.0,-76.0,-80.0,-61.0,28.0
2020-03-21T17:00:00,94.0,209.0,33.0,400.0,4.0,29.0,5617.0,-81.0,-47.0,-84.0,-82.0,-61.0,27.0
2020-03-22T17:00:00,111.0,252.0,37.0,459.0,7.0,31.0,6160.0,-94.0,-87.0,-89.0,-87.0,-65.0,25.0
2020-03-23T17:00:00,120.0,285.0,45.0,532.0,7.0,37.0,6761.0,-77.0,-46.0,-80.0,-83.0,-65.0,28.0
2020-03-24T17:00:00,99.0,317.0,57.0,566.0,21.0,44.0,7345.0,-79.0,-50.0,-81.0,-82.0,-67.0,29.0
2020-03-25T17:00:00,88.0,349.0,64.0,610.0,22.0,48.0,8223.0,-80.0,-52.0,-83.0,-83.0,-67.0,30.0
2020-03-26T17:00:00,89.0,480.0,76.0,539.0,22.0,65.0,9191.0,-82.0,-55.0,-85.0,-84.0,-69.0,31.0
2020-03-27T17:00:00,152.0,530.0,82.0,624.0,29.0,69.0,10233.0,-78.0,-44.0,-81.0,-83.0,-67.0,31.0
2020-03-28T17:00:00,124.0,563.0,98.0,697.0,29.0,71.0,11500.0,-82.0,-48.0,-85.0,-84.0,-64.0,28.0
2020-03-29T17:00:00,91.0,559.0,99.0,774.0,31.0,86.0,12361.0,-94.0,-85.0,-88.0,-88.0,-64.0,25.0
2020-03-30T17:00:00,163.0,590.0,106.0,889.0,36.0,91.0,13117.0,-78.0,-47.0,-75.0,-82.0,-65.0,27.0
2020-03-31T17:00:00,91.0,609.0,105.0,940.0,39.0,110.0,14073.0,-90.0,-44.0,-75.0,-80.0,-66.0,28.0
2020-04-01T17:00:00,143.0,637.0,107.0,1012.0,61.0,129.0,15209.0,-90.0,-45.0,-78.0,-81.0,-67.0,29.0
2020-04-02T17:00:00,131.0,645.0,118.0,1101.0,69.0,144.0,16554.0,-89.0,-41.0,-76.0,-80.0,-66.0,29.0
2020-04-03T17:00:00,105.0,648.0,123.0,1178.0,69.0,164.0,17924.0,-82.0,-38.0,-78.0,-82.0,-65.0,30.0
2020-04-04T17:00:00,58.0,627.0,153.0,1193.0,94.0,173.0,18977.0,-85.0,-43.0,-83.0,-82.0,-62.0,27.0
2020-04-05T17:00:00,77.0,574.0,159.0,1289.0,113.0,182.0,20080.0,-94.0,-81.0,-88.0,-88.0,-63.0,25.0
2020-04-06T17:00:00,127.0,625.0,97.0,1393.0,134.0,195.0,22059.0,-81.0,-43.0,-74.0,-81.0,-63.0,27.0
2020-04-07T17:00:00,70.0,615.0,93.0,1429.0,168.0,209.0,23149.0,-79.0,-40.0,-73.0,-80.0,-64.0,27.0
2020-04-08T17:00:00,120.0,639.0,90.0,1509.0,177.0,219.0,24493.0,-79.0,-38.0,-74.0,-80.0,-64.0,27.0
2020-04-09T17:00:00,82.0,630.0,86.0,1585.0,190.0,225.0,26088.0,-78.0,-34.0,-75.0,-80.0,-64.0,27.0
2020-04-10T17:00:00,93.0,631.0,80.0,1625.0,235.0,238.0,27812.0,-77.0,-28.0,-74.0,-81.0,-64.0,28.0
2020-04-11T17:00:00,95.0,627.0,73.0,1702.0,249.0,253.0,29463.0,-82.0,-40.0,-81.0,-81.0,-61.0,26.0
2020-04-12T17:00:00,85.0,609.0,71.0,1772.0,277.0,260.0,30973.0,-96.0,-92.0,-89.0,-90.0,-68.0,26.0
2020-04-13T17:00:00,76.0,600.0,71.0,1841.0,286.0,267.0,31922.0,-95.0,-95.0,-87.0,-93.0,-88.0,36.0
2020-04-14T17:00:00,53.0,611.0,62.0,1879.0,288.0,278.0,33071.0,-80.0,-44.0,-76.0,-80.0,-63.0,27.0
2020-04-15T17:00:00,66.0,592.0,73.0,1908.0,323.0,288.0,34518.0,-78.0,-40.0,-74.0,-79.0,-62.0,27.0
