,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-2.0,20.0,1.0,-2.0,0.0
2020-02-25T18:00:00,3.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,27.0,7.0,-1.0,-1.0
2020-02-26T18:00:00,0.0,1.0,0.0,2.0,0.0,0.0,5.0,-2.0,-1.0,6.0,2.0,1.0,0.0
2020-02-27T18:00:00,1.0,1.0,0.0,1.0,2.0,0.0,5.0,-2.0,-3.0,14.0,5.0,2.0,0.0
2020-02-28T18:00:00,0.0,1.0,0.0,1.0,2.0,0.0,5.0,-1.0,-1.0,5.0,3.0,0.0,0.0
2020-02-29T17:00:00,0.0,1.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,9.0,4.0,-1.0,0.0
2020-03-01T17:00:00,5.0,1.0,0.0,6.0,2.0,0.0,291.0,0.0,0.0,19.0,1.0,-2.0,0.0
2020-03-02T18:00:00,-2.0,2.0,0.0,3.0,2.0,0.0,307.0,-3.0,1.0,15.0,4.0,-3.0,0.0
2020-03-03T18:00:00,0.0,2.0,0.0,3.0,2.0,0.0,307.0,1.0,8.0,35.0,9.0,1.0,-1.0
2020-03-04T17:00:00,11.0,5.0,0.0,11.0,2.0,0.0,367.0,-8.0,-1.0,-17.0,-13.0,-2.0,2.0
2020-03-05T17:00:00,0.0,5.0,0.0,11.0,2.0,0.0,367.0,-7.0,4.0,2.0,-19.0,-18.0,5.0
2020-03-06T17:00:00,6.0,7.0,0.0,15.0,2.0,0.0,367.0,-12.0,1.0,-3.0,-24.0,-18.0,6.0
2020-03-07T18:00:00,11.0,8.0,0.0,25.0,2.0,0.0,643.0,-21.0,0.0,-29.0,-27.0,-15.0,7.0
2020-03-08T18:00:00,18.0,18.0,0.0,33.0,2.0,0.0,791.0,-31.0,-2.0,-29.0,-34.0,-10.0,7.0
2020-03-09T18:00:00,1.0,19.0,0.0,33.0,2.0,0.0,836.0,-25.0,1.0,-23.0,-37.0,-25.0,9.0
2020-03-10T18:00:00,8.0,17.0,2.0,41.0,2.0,0.0,955.0,-43.0,-2.0,-43.0,-47.0,-32.0,14.0
2020-03-11T17:00:00,21.0,23.0,1.0,57.0,2.0,0.0,1194.0,-51.0,-17.0,-43.0,-55.0,-38.0,16.0
2020-03-12T17:00:00,32.0,28.0,5.0,78.0,2.0,2.0,1477.0,-68.0,-27.0,-61.0,-66.0,-49.0,21.0
2020-03-13T17:00:00,15.0,37.0,7.0,82.0,2.0,2.0,1950.0,-74.0,-35.0,-63.0,-73.0,-55.0,24.0
2020-03-14T17:00:00,26.0,42.0,11.0,97.0,4.0,2.0,2100.0,-80.0,-41.0,-74.0,-74.0,-55.0,23.0
2020-03-15T17:00:00,32.0,56.0,15.0,108.0,7.0,2.0,2452.0,-90.0,-63.0,-84.0,-82.0,-56.0,22.0
2020-03-16T17:00:00,25.0,75.0,20.0,108.0,8.0,2.0,2653.0,-75.0,-42.0,-73.0,-77.0,-59.0,25.0
2020-03-17T17:00:00,24.0,86.0,28.0,112.0,8.0,3.0,2916.0,-78.0,-49.0,-73.0,-78.0,-62.0,26.0
2020-03-18T17:00:00,45.0,100.0,29.0,138.0,12.0,3.0,3294.0,-78.0,-49.0,-75.0,-79.0,-63.0,26.0
2020-03-19T17:00:00,58.0,143.0,36.0,142.0,15.0,4.0,3961.0,-78.0,-49.0,-75.0,-80.0,-65.0,27.0
2020-03-20T17:00:00,68.0,168.0,42.0,169.0,25.0,4.0,4468.0,-80.0,-46.0,-78.0,-81.0,-65.0,28.0
2020-03-21T17:00:00,82.0,206.0,48.0,204.0,26.0,6.0,4883.0,-84.0,-52.0,-86.0,-82.0,-62.0,25.0
2020-03-22T17:00:00,140.0,220.0,55.0,321.0,26.0,8.0,5580.0,-96.0,-94.0,-93.0,-89.0,-70.0,26.0
2020-03-23T17:00:00,91.0,250.0,60.0,371.0,27.0,13.0,6375.0,-80.0,-51.0,-81.0,-83.0,-67.0,28.0
2020-03-24T17:00:00,125.0,250.0,60.0,489.0,27.0,20.0,7170.0,-82.0,-55.0,-82.0,-82.0,-69.0,29.0
2020-03-25T17:00:00,148.0,259.0,80.0,597.0,33.0,25.0,8312.0,-86.0,-65.0,-86.0,-85.0,-71.0,30.0
2020-03-26T17:00:00,170.0,346.0,68.0,681.0,36.0,33.0,9658.0,-82.0,-52.0,-83.0,-84.0,-70.0,30.0
2020-03-27T17:00:00,86.0,425.0,75.0,658.0,53.0,39.0,11079.0,-82.0,-50.0,-82.0,-84.0,-69.0,31.0
2020-03-28T17:00:00,109.0,441.0,71.0,730.0,60.0,57.0,13096.0,-83.0,-51.0,-85.0,-82.0,-62.0,25.0
2020-03-29T17:00:00,101.0,451.0,71.0,808.0,65.0,65.0,13814.0,-95.0,-93.0,-91.0,-89.0,-68.0,25.0
2020-03-30T17:00:00,95.0,484.0,75.0,849.0,71.0,76.0,14758.0,-80.0,-49.0,-80.0,-82.0,-67.0,28.0
2020-03-31T17:00:00,92.0,503.0,72.0,917.0,74.0,81.0,15634.0,-91.0,-46.0,-74.0,-78.0,-67.0,27.0
2020-04-01T17:00:00,71.0,496.0,72.0,976.0,86.0,88.0,16836.0,-91.0,-45.0,-76.0,-78.0,-67.0,27.0
2020-04-02T17:00:00,73.0,503.0,73.0,1030.0,92.0,93.0,17833.0,-91.0,-46.0,-79.0,-80.0,-68.0,29.0
