,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,22.0,12.0,0.0,-1.0
2020-02-25T18:00:00,1.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,11.0,16.0,15.0,1.0,-1.0
2020-02-26T18:00:00,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,5.0,4.0,1.0,0.0
2020-02-27T18:00:00,0.0,1.0,0.0,0.0,0.0,0.0,34.0,9.0,4.0,26.0,10.0,1.0,-1.0
2020-02-28T18:00:00,0.0,1.0,0.0,0.0,0.0,0.0,34.0,7.0,6.0,11.0,7.0,1.0,0.0
2020-02-29T17:00:00,0.0,1.0,0.0,0.0,0.0,0.0,59.0,8.0,5.0,26.0,11.0,-1.0,0.0
2020-03-01T17:00:00,0.0,1.0,0.0,0.0,0.0,0.0,142.0,4.0,5.0,13.0,6.0,-2.0,0.0
2020-03-02T18:00:00,0.0,1.0,0.0,0.0,0.0,0.0,142.0,7.0,8.0,33.0,17.0,-4.0,-1.0
2020-03-03T18:00:00,4.0,2.0,0.0,3.0,0.0,0.0,142.0,13.0,26.0,31.0,24.0,0.0,-1.0
2020-03-04T17:00:00,1.0,2.0,0.0,4.0,0.0,0.0,142.0,-3.0,1.0,0.0,-2.0,0.0,1.0
2020-03-05T17:00:00,2.0,3.0,0.0,5.0,0.0,0.0,142.0,-12.0,1.0,-24.0,-21.0,-14.0,7.0
2020-03-06T17:00:00,6.0,8.0,0.0,6.0,0.0,0.0,158.0,-11.0,-2.0,-10.0,-21.0,-13.0,7.0
2020-03-07T18:00:00,9.0,14.0,1.0,8.0,0.0,0.0,230.0,-9.0,2.0,9.0,-9.0,-8.0,4.0
2020-03-08T18:00:00,9.0,15.0,2.0,15.0,0.0,0.0,264.0,-14.0,4.0,6.0,-8.0,-8.0,3.0
2020-03-09T18:00:00,10.0,18.0,2.0,22.0,0.0,0.0,303.0,-28.0,-2.0,-38.0,-34.0,-18.0,9.0
2020-03-10T18:00:00,48.0,36.0,4.0,48.0,2.0,0.0,435.0,-45.0,2.0,-47.0,-41.0,-25.0,13.0
2020-03-11T17:00:00,62.0,36.0,8.0,105.0,3.0,0.0,602.0,-55.0,-16.0,-44.0,-47.0,-32.0,16.0
2020-03-12T17:00:00,59.0,64.0,9.0,132.0,4.0,2.0,1200.0,-75.0,-24.0,-64.0,-62.0,-41.0,22.0
