,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,5.0,27.0,12.0,2.0,-1.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,6.0,14.0,14.0,1.0,0.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,8.0,14.0,5.0,1.0,0.0
2020-02-27T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,7.0,25.0,9.0,3.0,-1.0
2020-02-28T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,7.0,10.0,3.0,2.0,0.0
2020-02-29T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,4.0,31.0,8.0,0.0,-1.0
2020-03-01T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,9.0,29.0,16.0,0.0,-1.0
2020-03-02T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,10.0,33.0,24.0,2.0,-1.0
2020-03-03T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,30.0,43.0,36.0,2.0,-3.0
2020-03-04T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,4.0,7.0,-2.0,-1.0,1.0
2020-03-05T17:00:00,2.0,0.0,0.0,2.0,0.0,0.0,21.0,-21.0,-3.0,-31.0,-18.0,-15.0,9.0
2020-03-06T17:00:00,5.0,0.0,0.0,7.0,0.0,0.0,28.0,-4.0,9.0,5.0,-9.0,-14.0,6.0
2020-03-07T18:00:00,1.0,1.0,0.0,7.0,0.0,0.0,32.0,-6.0,7.0,2.0,-7.0,-6.0,5.0
2020-03-08T18:00:00,1.0,1.0,0.0,8.0,0.0,0.0,41.0,-26.0,13.0,-24.0,-23.0,-5.0,5.0
2020-03-09T18:00:00,6.0,4.0,0.0,11.0,0.0,0.0,67.0,-29.0,4.0,-23.0,-32.0,-21.0,10.0
2020-03-10T18:00:00,2.0,2.0,0.0,15.0,0.0,0.0,89.0,-51.0,-3.0,-40.0,-51.0,-28.0,15.0
2020-03-11T17:00:00,3.0,2.0,0.0,17.0,0.0,1.0,99.0,-58.0,-24.0,-39.0,-51.0,-35.0,17.0
2020-03-12T17:00:00,7.0,7.0,0.0,19.0,0.0,1.0,118.0,-74.0,-27.0,-54.0,-58.0,-44.0,23.0
2020-03-13T17:00:00,1.0,6.0,0.0,21.0,0.0,1.0,189.0,-79.0,-33.0,-60.0,-66.0,-51.0,27.0
2020-03-14T17:00:00,14.0,12.0,0.0,29.0,0.0,1.0,231.0,-88.0,-54.0,-76.0,-74.0,-58.0,
2020-03-15T17:00:00,15.0,10.0,3.0,43.0,0.0,1.0,230.0,-93.0,-68.0,-84.0,-82.0,-59.0,
2020-03-16T17:00:00,48.0,28.0,5.0,70.0,0.0,2.0,287.0,-80.0,-37.0,-60.0,-70.0,-57.0,27.0
2020-03-17T17:00:00,31.0,35.0,6.0,93.0,0.0,2.0,398.0,-81.0,-43.0,-55.0,-68.0,-60.0,27.0
2020-03-18T17:00:00,29.0,41.0,3.0,118.0,0.0,3.0,486.0,-83.0,-47.0,-61.0,-71.0,-61.0,28.0
2020-03-19T17:00:00,50.0,47.0,9.0,153.0,0.0,6.0,608.0,-83.0,-47.0,-61.0,-72.0,-63.0,30.0
2020-03-20T17:00:00,49.0,54.0,9.0,194.0,0.0,7.0,814.0,-86.0,-45.0,-75.0,-76.0,-64.0,33.0
2020-03-21T17:00:00,49.0,62.0,15.0,227.0,1.0,8.0,884.0,-91.0,-59.0,-86.0,-82.0,-63.0,
2020-03-22T17:00:00,51.0,63.0,21.0,270.0,1.0,9.0,950.0,-95.0,-87.0,-90.0,-88.0,-67.0,
2020-03-23T17:00:00,29.0,69.0,20.0,290.0,2.0,12.0,1098.0,-86.0,-47.0,-76.0,-79.0,-67.0,31.0
2020-03-24T17:00:00,7.0,71.0,20.0,288.0,2.0,19.0,1180.0,-87.0,-50.0,-76.0,-78.0,-68.0,32.0
2020-03-25T17:00:00,1.0,70.0,25.0,280.0,2.0,24.0,1200.0,-87.0,-54.0,-77.0,-79.0,-69.0,33.0
2020-03-26T17:00:00,7.0,73.0,24.0,281.0,2.0,28.0,1203.0,-88.0,-53.0,-78.0,-80.0,-71.0,35.0
2020-03-27T17:00:00,44.0,91.0,24.0,298.0,2.0,37.0,1252.0,-88.0,-51.0,-80.0,-81.0,-69.0,36.0
2020-03-28T17:00:00,59.0,90.0,26.0,352.0,2.0,41.0,1380.0,-92.0,-62.0,-86.0,-83.0,-65.0,
2020-03-29T17:00:00,73.0,90.0,26.0,423.0,2.0,43.0,1480.0,-95.0,-88.0,-91.0,-86.0,-67.0,
2020-03-30T17:00:00,0.0,92.0,26.0,400.0,16.0,50.0,1536.0,-87.0,-49.0,-75.0,-78.0,-68.0,31.0
2020-03-31T17:00:00,44.0,91.0,26.0,435.0,20.0,56.0,1582.0,-95.0,-48.0,-74.0,-78.0,-68.0,32.0
2020-04-01T17:00:00,3.0,85.0,27.0,428.0,32.0,59.0,1717.0,-95.0,-46.0,-76.0,-76.0,-67.0,32.0
2020-04-02T17:00:00,37.0,85.0,25.0,446.0,49.0,63.0,1934.0,-95.0,-45.0,-75.0,-75.0,-68.0,33.0
2020-04-03T17:00:00,51.0,85.0,25.0,450.0,89.0,70.0,2106.0,-90.0,-45.0,-75.0,-77.0,-68.0,34.0
2020-04-04T17:00:00,29.0,63.0,23.0,474.0,106.0,82.0,2274.0,-93.0,-57.0,-85.0,-82.0,-63.0,
2020-04-05T17:00:00,34.0,96.0,23.0,457.0,115.0,91.0,2390.0,-96.0,-87.0,-89.0,-86.0,-64.0,
2020-04-06T17:00:00,23.0,109.0,21.0,437.0,142.0,96.0,2590.0,-87.0,-42.0,-75.0,-77.0,-65.0,30.0
2020-04-07T17:00:00,30.0,118.0,17.0,458.0,142.0,100.0,2754.0,-88.0,-42.0,-73.0,-75.0,-66.0,31.0
2020-04-08T17:00:00,15.0,120.0,20.0,466.0,142.0,102.0,2953.0,-88.0,-44.0,-74.0,-72.0,-64.0,30.0
2020-04-09T17:00:00,18.0,118.0,18.0,473.0,154.0,105.0,3142.0,-87.0,-39.0,-76.0,-74.0,-66.0,32.0
2020-04-10T17:00:00,11.0,131.0,16.0,455.0,170.0,107.0,3328.0,-88.0,-37.0,-76.0,-74.0,-66.0,34.0
2020-04-11T17:00:00,23.0,118.0,17.0,455.0,205.0,107.0,3464.0,-91.0,-49.0,-86.0,-81.0,-61.0,
2020-04-12T17:00:00,19.0,109.0,16.0,463.0,221.0,112.0,3510.0,-96.0,-92.0,-91.0,-86.0,-65.0,
2020-04-13T17:00:00,6.0,109.0,15.0,458.0,230.0,115.0,3614.0,-95.0,-84.0,-82.0,-86.0,-85.0,
2020-04-14T17:00:00,20.0,112.0,14.0,433.0,270.0,118.0,3726.0,-86.0,-42.0,-73.0,-72.0,-62.0,29.0
2020-04-15T17:00:00,11.0,112.0,11.0,425.0,289.0,121.0,3894.0,-86.0,-41.0,-74.0,-71.0,-62.0,29.0
2020-04-16T17:00:00,13.0,105.0,12.0,401.0,331.0,122.0,4159.0,-86.0,-41.0,-74.0,-72.0,-61.0,30.0
2020-04-17T17:00:00,22.0,108.0,9.0,374.0,379.0,123.0,4366.0,-86.0,-40.0,-74.0,-73.0,-61.0,32.0
2020-04-18T17:00:00,80.0,107.0,10.0,432.0,400.0,124.0,4521.0,-91.0,-56.0,-85.0,-80.0,-58.0,
2020-04-19T17:00:00,15.0,102.0,10.0,450.0,401.0,125.0,4677.0,-95.0,-86.0,-90.0,-87.0,-63.0,
2020-04-20T17:00:00,0.0,102.0,8.0,438.0,413.0,127.0,4799.0,-84.0,-47.0,-76.0,-72.0,-60.0,28.0
2020-04-21T17:00:00,5.0,99.0,8.0,415.0,445.0,126.0,4911.0,-86.0,-48.0,-74.0,-74.0,-60.0,30.0
2020-04-22T17:00:00,2.0,92.0,8.0,401.0,467.0,127.0,5024.0,-85.0,-47.0,-71.0,-67.0,-58.0,27.0
2020-04-23T17:00:00,1.0,91.0,9.0,363.0,506.0,127.0,5227.0,-85.0,-44.0,-68.0,-69.0,-60.0,29.0
2020-04-24T17:00:00,4.0,88.0,7.0,259.0,617.0,129.0,5262.0,-84.0,-42.0,-72.0,-69.0,-59.0,30.0
2020-04-25T17:00:00,0.0,83.0,6.0,224.0,657.0,130.0,5966.0,-93.0,-66.0,-84.0,-81.0,-62.0,
2020-04-26T17:00:00,6.0,82.0,7.0,165.0,721.0,131.0,6135.0,-95.0,-83.0,-88.0,-84.0,-59.0,
2020-04-27T17:00:00,5.0,86.0,7.0,142.0,743.0,133.0,6551.0,-81.0,-41.0,-70.0,-66.0,-57.0,26.0
2020-04-28T17:00:00,8.0,81.0,5.0,123.0,775.0,135.0,6897.0,-84.0,-44.0,-72.0,-71.0,-58.0,26.0
2020-04-29T17:00:00,5.0,78.0,5.0,52.0,852.0,137.0,7181.0,-83.0,-43.0,-67.0,-63.0,-56.0,26.0
2020-04-30T17:00:00,4.0,76.0,4.0,9.0,902.0,137.0,7631.0,-82.0,-36.0,-71.0,-70.0,-58.0,28.0
2020-05-01T17:00:00,5.0,72.0,3.0,17.0,904.0,137.0,7769.0,-93.0,-75.0,-81.0,-84.0,-81.0,
2020-05-02T17:00:00,3.0,70.0,3.0,25.0,901.0,137.0,7951.0,-89.0,-51.0,-84.0,-79.0,-55.0,
2020-05-03T17:00:00,6.0,74.0,2.0,33.0,895.0,138.0,8100.0,-94.0,-81.0,-85.0,-82.0,-55.0,
2020-05-04T17:00:00,1.0,74.0,2.0,34.0,894.0,139.0,8271.0,-69.0,-28.0,-45.0,-50.0,-48.0,18.0
2020-05-05T17:00:00,0.0,56.0,3.0,51.0,894.0,139.0,8484.0,-71.0,-29.0,-47.0,-51.0,-49.0,20.0
2020-05-06T17:00:00,3.0,50.0,3.0,74.0,880.0,139.0,8640.0,-72.0,-31.0,-45.0,-50.0,-48.0,19.0
2020-05-07T17:00:00,4.0,49.0,2.0,79.0,881.0,139.0,8939.0,-70.0,-32.0,-45.0,-52.0,-49.0,20.0
2020-05-08T17:00:00,1.0,45.0,2.0,76.0,889.0,139.0,9280.0,-73.0,-30.0,-51.0,-55.0,-49.0,21.0
2020-05-09T17:00:00,1.0,45.0,3.0,70.0,895.0,139.0,9443.0,-80.0,-41.0,-63.0,-59.0,-45.0,15.0
2020-05-10T17:00:00,5.0,46.0,2.0,65.0,905.0,139.0,9833.0,-87.0,-67.0,-78.0,-70.0,-43.0,
2020-05-11T17:00:00,1.0,44.0,1.0,62.0,912.0,139.0,10063.0,-70.0,-30.0,-58.0,-56.0,-47.0,20.0
2020-05-12T17:00:00,2.0,45.0,0.0,59.0,916.0,140.0,10415.0,-68.0,-30.0,-40.0,-48.0,-45.0,18.0
2020-05-13T17:00:00,3.0,38.0,0.0,55.0,929.0,141.0,10777.0,-73.0,-35.0,-64.0,-58.0,-47.0,21.0
2020-05-14T17:00:00,3.0,38.0,0.0,42.0,945.0,141.0,11100.0,-69.0,-31.0,-47.0,-48.0,-45.0,18.0
2020-05-15T17:00:00,6.0,37.0,0.0,40.0,953.0,142.0,11413.0,-72.0,-31.0,-56.0,-58.0,-46.0,21.0
2020-05-16T17:00:00,1.0,33.0,0.0,42.0,956.0,142.0,11835.0,-79.0,-41.0,-69.0,-61.0,-41.0,16.0
2020-05-17T17:00:00,0.0,31.0,0.0,37.0,962.0,143.0,12169.0,-82.0,-57.0,-63.0,-63.0,-36.0,
2020-05-18T17:00:00,1.0,30.0,0.0,30.0,971.0,143.0,12327.0,-54.0,-20.0,-31.0,-45.0,-40.0,14.0
2020-05-19T17:00:00,1.0,26.0,1.0,22.0,983.0,143.0,12663.0,-55.0,-21.0,-20.0,-38.0,-39.0,13.0
2020-05-20T17:00:00,0.0,25.0,1.0,20.0,986.0,143.0,12920.0,-55.0,-20.0,-26.0,-38.0,-39.0,13.0
2020-05-21T17:00:00,1.0,26.0,1.0,16.0,990.0,143.0,13261.0,-54.0,-21.0,-29.0,-38.0,-39.0,14.0
2020-05-22T17:00:00,1.0,22.0,2.0,19.0,991.0,143.0,13531.0,-57.0,-21.0,-32.0,-44.0,-38.0,14.0
2020-05-23T17:00:00,0.0,23.0,2.0,10.0,999.0,143.0,13828.0,-68.0,-31.0,-57.0,-55.0,-31.0,11.0
2020-05-24T17:00:00,1.0,23.0,1.0,8.0,1003.0,143.0,14079.0,-69.0,-43.0,-38.0,-52.0,-29.0,
2020-05-25T17:00:00,1.0,19.0,1.0,13.0,1003.0,143.0,14175.0,-49.0,-20.0,-21.0,-37.0,-37.0,12.0
2020-05-26T17:00:00,2.0,17.0,1.0,13.0,1007.0,143.0,14262.0,-50.0,-20.0,-18.0,-36.0,-36.0,12.0
2020-05-27T17:00:00,0.0,17.0,1.0,9.0,1011.0,143.0,14459.0,-51.0,-20.0,-26.0,-38.0,-35.0,12.0
2020-05-28T17:00:00,1.0,16.0,0.0,7.0,1016.0,143.0,14653.0,-51.0,-20.0,-24.0,-37.0,-37.0,12.0
2020-05-29T17:00:00,0.0,12.0,0.0,7.0,1020.0,143.0,14759.0,-55.0,-19.0,-34.0,-42.0,-38.0,13.0
2020-05-30T17:00:00,1.0,13.0,0.0,4.0,1023.0,143.0,14972.0,-64.0,-30.0,-45.0,-50.0,-26.0,8.0
2020-05-31T17:00:00,1.0,12.0,0.0,3.0,1026.0,143.0,15203.0,-67.0,-40.0,-43.0,-52.0,-29.0,
2020-06-01T17:00:00,3.0,11.0,0.0,6.0,1027.0,143.0,15230.0,-42.0,-8.0,-9.0,-33.0,-43.0,10.0
2020-06-02T17:00:00,0.0,10.0,0.0,3.0,1031.0,143.0,15327.0,-57.0,-39.0,15.0,-45.0,-67.0,15.0
2020-06-03T17:00:00,0.0,9.0,0.0,4.0,1031.0,143.0,15413.0,-47.0,-15.0,-30.0,-33.0,-35.0,10.0
2020-06-04T17:00:00,0.0,9.0,0.0,1.0,1034.0,143.0,15512.0,-51.0,-16.0,-48.0,-41.0,-39.0,13.0
2020-06-05T17:00:00,0.0,9.0,0.0,1.0,1034.0,143.0,15587.0,-44.0,-14.0,-13.0,-34.0,-36.0,10.0
2020-06-06T17:00:00,2.0,7.0,0.0,5.0,1033.0,144.0,15730.0,-50.0,-19.0,-20.0,-35.0,-28.0,5.0
2020-06-07T17:00:00,2.0,6.0,0.0,3.0,1038.0,144.0,15905.0,-61.0,-32.0,-48.0,-49.0,-26.0,
2020-06-08T17:00:00,0.0,7.0,0.0,1.0,1039.0,144.0,15910.0,-43.0,-19.0,-32.0,-37.0,-35.0,10.0
2020-06-09T17:00:00,0.0,7.0,0.0,1.0,1039.0,144.0,16040.0,-45.0,-20.0,-29.0,-40.0,-36.0,11.0
2020-06-10T17:00:00,0.0,3.0,0.0,3.0,1041.0,144.0,16141.0,-42.0,-20.0,-22.0,-35.0,-34.0,9.0
2020-06-11T17:00:00,0.0,6.0,0.0,0.0,1041.0,144.0,16268.0,-42.0,-17.0,-23.0,-36.0,-35.0,10.0
2020-06-12T17:00:00,0.0,6.0,0.0,3.0,1038.0,144.0,16374.0,-45.0,-16.0,-16.0,-38.0,-36.0,10.0
2020-06-13T17:00:00,0.0,7.0,0.0,0.0,1040.0,144.0,16476.0,-52.0,-20.0,-33.0,-44.0,-24.0,6.0
