,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,12.0,3.0,1.0,0.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,32.0,8.0,-1.0,-1.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,-1.0,18.0,5.0,1.0,0.0
2020-02-27T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,14.0,-1.0,-2.0,13.0,5.0,1.0,0.0
2020-02-28T18:00:00,1.0,0.0,0.0,1.0,0.0,0.0,21.0,-6.0,-1.0,-2.0,0.0,0.0,0.0
2020-02-29T17:00:00,0.0,0.0,0.0,1.0,0.0,0.0,27.0,-4.0,1.0,4.0,3.0,-1.0,1.0
2020-03-01T17:00:00,0.0,0.0,0.0,1.0,0.0,0.0,35.0,-2.0,-1.0,7.0,0.0,0.0,1.0
2020-03-02T18:00:00,0.0,0.0,0.0,1.0,0.0,0.0,39.0,-5.0,1.0,-1.0,0.0,1.0,1.0
2020-03-03T18:00:00,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0.0,9.0,27.0,2.0,5.0,0.0
2020-03-04T17:00:00,0.0,0.0,0.0,1.0,0.0,0.0,46.0,-5.0,2.0,1.0,-17.0,-2.0,2.0
2020-03-05T17:00:00,1.0,1.0,0.0,1.0,0.0,0.0,53.0,-7.0,7.0,3.0,-19.0,-19.0,5.0
2020-03-06T17:00:00,2.0,2.0,0.0,2.0,0.0,0.0,99.0,-16.0,-1.0,-13.0,-28.0,-21.0,7.0
2020-03-07T18:00:00,0.0,2.0,0.0,2.0,0.0,0.0,113.0,-22.0,0.0,-37.0,-34.0,-21.0,8.0
2020-03-08T18:00:00,5.0,5.0,0.0,4.0,0.0,0.0,113.0,-31.0,0.0,-33.0,-40.0,-10.0,7.0
2020-03-09T18:00:00,2.0,8.0,0.0,1.0,2.0,0.0,173.0,-26.0,0.0,-16.0,-40.0,-27.0,10.0
2020-03-10T18:00:00,2.0,8.0,2.0,1.0,2.0,0.0,360.0,-42.0,-2.0,-28.0,-47.0,-35.0,14.0
2020-03-11T17:00:00,6.0,10.0,2.0,5.0,2.0,0.0,405.0,-56.0,-22.0,-43.0,-58.0,-42.0,18.0
2020-03-12T17:00:00,14.0,14.0,2.0,16.0,1.0,0.0,483.0,-71.0,-32.0,-60.0,-66.0,-53.0,22.0
2020-03-13T17:00:00,5.0,18.0,3.0,16.0,1.0,0.0,504.0,-75.0,-40.0,-59.0,-70.0,-58.0,25.0
2020-03-14T17:00:00,22.0,22.0,4.0,33.0,1.0,0.0,711.0,-81.0,-47.0,-72.0,-75.0,-59.0,24.0
2020-03-15T17:00:00,8.0,32.0,6.0,28.0,1.0,1.0,884.0,-89.0,-66.0,-79.0,-83.0,-55.0,20.0
2020-03-16T17:00:00,21.0,36.0,7.0,44.0,1.0,1.0,1030.0,-76.0,-46.0,-65.0,-79.0,-61.0,25.0
2020-03-17T17:00:00,25.0,45.0,10.0,57.0,1.0,1.0,1293.0,-78.0,-51.0,-67.0,-78.0,-63.0,25.0
2020-03-18T17:00:00,15.0,45.0,11.0,70.0,2.0,1.0,1668.0,-79.0,-50.0,-71.0,-79.0,-65.0,27.0
2020-03-19T17:00:00,40.0,60.0,13.0,91.0,2.0,3.0,2342.0,-80.0,-53.0,-73.0,-79.0,-66.0,27.0
2020-03-20T17:00:00,38.0,71.0,16.0,114.0,2.0,4.0,2690.0,-80.0,-50.0,-73.0,-82.0,-66.0,29.0
2020-03-21T17:00:00,28.0,73.0,16.0,136.0,5.0,5.0,3050.0,-85.0,-55.0,-84.0,-83.0,-65.0,26.0
2020-03-22T17:00:00,38.0,77.0,17.0,166.0,5.0,8.0,3666.0,-94.0,-92.0,-88.0,-89.0,-66.0,23.0
2020-03-23T17:00:00,19.0,82.0,20.0,178.0,5.0,7.0,4073.0,-80.0,-53.0,-76.0,-84.0,-68.0,28.0
2020-03-24T17:00:00,27.0,88.0,21.0,195.0,5.0,10.0,4486.0,-82.0,-56.0,-76.0,-81.0,-70.0,28.0
2020-03-25T17:00:00,32.0,93.0,23.0,217.0,7.0,11.0,5058.0,-85.0,-62.0,-82.0,-84.0,-72.0,30.0
2020-03-26T17:00:00,42.0,101.0,23.0,248.0,7.0,14.0,5933.0,-85.0,-60.0,-82.0,-84.0,-71.0,30.0
2020-03-27T17:00:00,101.0,103.0,22.0,344.0,7.0,18.0,6901.0,-81.0,-51.0,-78.0,-84.0,-69.0,30.0
2020-03-28T17:00:00,61.0,107.0,22.0,394.0,11.0,21.0,7760.0,-84.0,-55.0,-84.0,-84.0,-65.0,27.0
2020-03-29T17:00:00,59.0,124.0,19.0,434.0,12.0,25.0,8485.0,-94.0,-92.0,-85.0,-90.0,-63.0,22.0
2020-03-30T17:00:00,33.0,130.0,18.0,454.0,14.0,31.0,9013.0,-81.0,-52.0,-72.0,-83.0,-67.0,27.0
2020-03-31T17:00:00,12.0,132.0,17.0,457.0,17.0,36.0,9327.0,-92.0,-48.0,-72.0,-80.0,-68.0,27.0
2020-04-01T17:00:00,10.0,144.0,16.0,450.0,21.0,38.0,9983.0,-92.0,-48.0,-77.0,-81.0,-68.0,28.0
2020-04-02T17:00:00,22.0,163.0,19.0,445.0,23.0,41.0,10679.0,-91.0,-47.0,-75.0,-80.0,-67.0,28.0
2020-04-03T17:00:00,42.0,183.0,17.0,462.0,26.0,45.0,11608.0,-85.0,-46.0,-78.0,-83.0,-67.0,30.0
2020-04-04T17:00:00,8.0,178.0,15.0,469.0,30.0,49.0,12314.0,-87.0,-47.0,-83.0,-83.0,-63.0,26.0
2020-04-05T17:00:00,54.0,174.0,13.0,519.0,33.0,56.0,13077.0,-95.0,-91.0,-85.0,-90.0,-62.0,22.0
2020-04-06T17:00:00,22.0,170.0,14.0,538.0,37.0,58.0,13633.0,-83.0,-45.0,-72.0,-81.0,-64.0,26.0
2020-04-07T17:00:00,16.0,169.0,14.0,550.0,40.0,60.0,14072.0,-82.0,-43.0,-70.0,-80.0,-65.0,26.0
2020-04-08T17:00:00,26.0,170.0,15.0,570.0,44.0,60.0,14977.0,-82.0,-41.0,-72.0,-79.0,-65.0,26.0
