,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,58.0,3.0,1.0,45.0,10.0,1.0,-1.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,89.0,5.0,5.0,36.0,12.0,1.0,-1.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,1.0,3.0,1.0,0.0,0.0
2020-02-27T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,141.0,5.0,2.0,22.0,4.0,2.0,0.0
2020-02-28T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,169.0,1.0,1.0,12.0,1.0,1.0,0.0
2020-02-29T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,189.0,3.0,1.0,19.0,3.0,1.0,-1.0
2020-03-01T17:00:00,6.0,0.0,0.0,6.0,0.0,0.0,243.0,2.0,2.0,21.0,7.0,0.0,-1.0
2020-03-02T18:00:00,3.0,0.0,0.0,9.0,0.0,0.0,269.0,-1.0,4.0,49.0,16.0,0.0,-1.0
2020-03-03T18:00:00,4.0,1.0,0.0,12.0,0.0,0.0,354.0,-5.0,15.0,21.0,11.0,1.0,0.0
2020-03-04T17:00:00,5.0,3.0,0.0,15.0,0.0,0.0,376.0,-7.0,0.0,-3.0,-23.0,-13.0,6.0
2020-03-05T17:00:00,3.0,4.0,0.0,17.0,0.0,0.0,397.0,-9.0,1.0,2.0,-24.0,-13.0,6.0
2020-03-06T17:00:00,10.0,4.0,0.0,24.0,3.0,0.0,577.0,-15.0,-1.0,-21.0,-28.0,-14.0,8.0
2020-03-07T18:00:00,11.0,7.0,1.0,31.0,3.0,0.0,577.0,-13.0,3.0,25.0,-16.0,-13.0,5.0
2020-03-08T18:00:00,15.0,7.0,1.0,45.0,3.0,1.0,997.0,-16.0,9.0,41.0,-7.0,-5.0,3.0
2020-03-09T18:00:00,36.0,18.0,1.0,70.0,3.0,1.0,1344.0,-21.0,1.0,1.0,-31.0,-16.0,8.0
2020-03-10T18:00:00,23.0,27.0,6.0,77.0,3.0,3.0,1602.0,-37.0,9.0,-21.0,-41.0,-21.0,13.0
