,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,18.0,10.0,2.0,6.0,0.0,0.0,148.0,5.0,4.0,25.0,7.0,1.0,-2.0
2020-02-25T18:00:00,8.0,15.0,2.0,9.0,0.0,0.0,391.0,1.0,6.0,39.0,5.0,0.0,-2.0
2020-02-26T18:00:00,21.0,20.0,3.0,23.0,0.0,1.0,577.0,1.0,2.0,14.0,5.0,4.0,-1.0
2020-02-27T18:00:00,50.0,36.0,6.0,54.0,0.0,1.0,1033.0,1.0,1.0,6.0,2.0,1.0,0.0
2020-02-28T18:00:00,48.0,56.0,6.0,81.0,0.0,2.0,1277.0,1.0,0.0,12.0,2.0,1.0,0.0
2020-02-29T17:00:00,72.0,86.0,11.0,116.0,0.0,4.0,1550.0,2.0,0.0,19.0,5.0,1.0,-1.0
2020-03-01T17:00:00,68.0,127.0,13.0,137.0,0.0,8.0,1795.0,1.0,2.0,11.0,4.0,0.0,0.0
2020-03-02T18:00:00,50.0,148.0,16.0,160.0,0.0,11.0,1973.0,2.0,10.0,22.0,8.0,1.0,0.0
2020-03-03T18:00:00,85.0,187.0,24.0,187.0,4.0,18.0,2012.0,-7.0,25.0,29.0,-3.0,0.0,0.0
2020-03-04T17:00:00,124.0,256.0,26.0,234.0,6.0,22.0,2500.0,-13.0,-4.0,-6.0,-30.0,-13.0,7.0
2020-03-05T17:00:00,154.0,327.0,32.0,299.0,10.0,30.0,2884.0,-16.0,-5.0,-13.0,-32.0,-14.0,8.0
2020-03-06T17:00:00,172.0,397.0,53.0,366.0,17.0,37.0,3136.0,-17.0,-1.0,-9.0,-34.0,-15.0,8.0
2020-03-07T18:00:00,140.0,464.0,64.0,409.0,25.0,48.0,3604.0,-22.0,5.0,-8.0,-31.0,-18.0,8.0
2020-03-08T18:00:00,170.0,542.0,75.0,480.0,27.0,56.0,4344.0,-37.0,7.0,26.0,-33.0,-13.0,7.0
2020-03-09T18:00:00,206.0,576.0,90.0,620.0,30.0,70.0,4906.0,-34.0,-4.0,-21.0,-45.0,-20.0,12.0
2020-03-10T18:00:00,147.0,669.0,98.0,650.0,31.0,85.0,5494.0,-44.0,-5.0,-23.0,-50.0,-27.0,16.0
2020-03-11T17:00:00,206.0,745.0,104.0,739.0,38.0,113.0,6640.0,-50.0,-11.0,-20.0,-54.0,-32.0,18.0
2020-03-12T17:00:00,208.0,814.0,112.0,832.0,43.0,146.0,7600.0,-68.0,-17.0,-51.0,-63.0,-40.0,23.0
2020-03-13T17:00:00,316.0,942.0,128.0,941.0,51.0,201.0,8787.0,-73.0,-18.0,-61.0,-68.0,-46.0,27.0
2020-03-14T17:00:00,381.0,1076.0,152.0,1121.0,54.0,241.0,10043.0,-84.0,-37.0,-78.0,-76.0,-57.0,26.0
2020-03-15T17:00:00,449.0,1215.0,169.0,1357.0,68.0,284.0,12054.0,-90.0,-56.0,-72.0,-80.0,-53.0,22.0
