,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,32.0,12.0,4.0,16.0,0.0,1.0,2200.0,6.0,1.0,54.0,18.0,1.0,-2.0
2020-02-25T18:00:00,10.0,12.0,7.0,23.0,0.0,1.0,3780.0,5.0,4.0,48.0,27.0,2.0,-2.0
2020-02-26T18:00:00,28.0,16.0,8.0,45.0,0.0,2.0,4900.0,-1.0,2.0,11.0,6.0,1.0,0.0
2020-02-27T18:00:00,40.0,19.0,8.0,82.0,0.0,2.0,6164.0,4.0,1.0,28.0,7.0,1.0,0.0
2020-02-28T18:00:00,40.0,24.0,9.0,116.0,0.0,2.0,7414.0,3.0,0.0,23.0,7.0,1.0,-1.0
2020-02-29T17:00:00,40.0,24.0,11.0,154.0,0.0,2.0,8659.0,5.0,2.0,33.0,10.0,1.0,-1.0
2020-03-01T17:00:00,72.0,51.0,13.0,197.0,0.0,2.0,9056.0,4.0,2.0,36.0,13.0,0.0,-1.0
2020-03-02T18:00:00,10.0,53.0,14.0,204.0,0.0,2.0,9782.0,-3.0,8.0,48.0,17.0,1.0,-1.0
2020-03-03T18:00:00,34.0,49.0,19.0,229.0,7.0,3.0,10176.0,-16.0,17.0,17.0,8.0,-1.0,2.0
2020-03-04T17:00:00,53.0,76.0,23.0,246.0,9.0,6.0,10515.0,-8.0,-2.0,3.0,-27.0,-12.0,5.0
2020-03-05T17:00:00,47.0,92.0,24.0,264.0,17.0,10.0,11949.0,-12.0,-1.0,-15.0,-32.0,-13.0,6.0
2020-03-06T17:00:00,81.0,117.0,27.0,310.0,22.0,12.0,13023.0,-14.0,0.0,-9.0,-33.0,-13.0,7.0
2020-03-07T18:00:00,55.0,123.0,41.0,341.0,25.0,13.0,14429.0,-16.0,2.0,8.0,-27.0,-16.0,5.0
2020-03-08T18:00:00,127.0,146.0,47.0,430.0,29.0,18.0,15918.0,-31.0,8.0,12.0,-26.0,-11.0,5.0
2020-03-09T18:00:00,74.0,186.0,51.0,457.0,30.0,20.0,15956.0,-30.0,0.0,-22.0,-45.0,-19.0,10.0
2020-03-10T18:00:00,112.0,204.0,67.0,512.0,47.0,26.0,16643.0,-39.0,1.0,-30.0,-50.0,-23.0,14.0
