,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,55.0,14.0,-2.0,-2.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,6.0,39.0,22.0,1.0,-3.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,19.0,5.0,1.0,-1.0
2020-02-27T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,26.0,6.0,1.0,-1.0
2020-02-28T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,3.0,1.0,0.0
2020-02-29T17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,14.0,4.0,0.0,-1.0
2020-03-01T17:00:00,2.0,0.0,0.0,2.0,0.0,0.0,35.0,2.0,2.0,18.0,8.0,1.0,-2.0
2020-03-02T18:00:00,0.0,0.0,0.0,2.0,0.0,0.0,35.0,2.0,4.0,56.0,16.0,1.0,-1.0
2020-03-03T18:00:00,6.0,1.0,1.0,6.0,0.0,0.0,45.0,-1.0,14.0,32.0,26.0,1.0,-1.0
2020-03-04T17:00:00,1.0,1.0,1.0,7.0,0.0,0.0,58.0,-6.0,4.0,-5.0,-4.0,2.0,2.0
2020-03-05T17:00:00,0.0,1.0,1.0,7.0,0.0,0.0,88.0,-9.0,4.0,-5.0,-14.0,-13.0,6.0
2020-03-06T17:00:00,7.0,2.0,2.0,12.0,0.0,0.0,110.0,-15.0,2.0,-14.0,-19.0,-13.0,7.0
2020-03-07T18:00:00,8.0,2.0,2.0,20.0,0.0,0.0,134.0,-19.0,6.0,-2.0,-17.0,-14.0,7.0
2020-03-08T18:00:00,2.0,2.0,2.0,22.0,0.0,0.0,168.0,-27.0,8.0,7.0,-6.0,-7.0,6.0
2020-03-09T18:00:00,2.0,4.0,2.0,22.0,0.0,0.0,183.0,-24.0,0.0,-7.0,-25.0,-18.0,9.0
