,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,-1.0,32.0,9.0,1.0,-1.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,21.0,5.0,7.0,49.0,20.0,0.0,-2.0
2020-02-26T18:00:00,1.0,1.0,0.0,0.0,0.0,0.0,28.0,1.0,1.0,12.0,5.0,1.0,-1.0
2020-02-27T18:00:00,2.0,2.0,1.0,0.0,0.0,0.0,46.0,2.0,0.0,14.0,3.0,1.0,0.0
2020-02-28T18:00:00,3.0,3.0,2.0,1.0,0.0,0.0,47.0,0.0,-1.0,0.0,1.0,1.0,0.0
2020-02-29T17:00:00,5.0,6.0,2.0,3.0,0.0,0.0,68.0,3.0,1.0,33.0,6.0,1.0,-1.0
2020-03-01T17:00:00,14.0,12.0,5.0,8.0,0.0,0.0,101.0,1.0,0.0,14.0,7.0,0.0,0.0
2020-03-02T18:00:00,10.0,17.0,6.0,11.0,0.0,1.0,137.0,1.0,4.0,26.0,10.0,1.0,0.0
2020-03-03T18:00:00,26.0,27.0,13.0,19.0,0.0,2.0,200.0,-1.0,18.0,56.0,18.0,2.0,-1.0
2020-03-04T17:00:00,23.0,34.0,15.0,31.0,0.0,4.0,288.0,-12.0,0.0,-16.0,-22.0,-12.0,7.0
2020-03-05T17:00:00,40.0,57.0,19.0,44.0,0.0,4.0,413.0,-11.0,0.0,7.0,-20.0,-13.0,7.0
2020-03-06T17:00:00,35.0,73.0,20.0,62.0,0.0,4.0,585.0,-16.0,-2.0,-8.0,-25.0,-14.0,8.0
2020-03-07T18:00:00,48.0,94.0,36.0,71.0,0.0,6.0,816.0,-22.0,3.0,-22.0,-27.0,-18.0,10.0
2020-03-08T18:00:00,65.0,110.0,41.0,114.0,0.0,7.0,1025.0,-31.0,4.0,1.0,-22.0,-12.0,8.0
2020-03-09T18:00:00,51.0,136.0,47.0,130.0,0.0,10.0,1250.0,-27.0,-3.0,-14.0,-35.0,-20.0,11.0
2020-03-10T18:00:00,71.0,152.0,54.0,175.0,0.0,13.0,1437.0,-41.0,-1.0,-30.0,-45.0,-26.0,15.0
2020-03-11T17:00:00,85.0,212.0,66.0,183.0,0.0,18.0,1656.0,-50.0,-14.0,-28.0,-48.0,-32.0,18.0
2020-03-12T17:00:00,113.0,254.0,76.0,240.0,0.0,22.0,1907.0,-67.0,-20.0,-54.0,-59.0,-40.0,24.0
2020-03-13T17:00:00,133.0,337.0,85.0,276.0,0.0,27.0,2218.0,-72.0,-23.0,-63.0,-64.0,-48.0,27.0
2020-03-14T17:00:00,174.0,449.0,93.0,321.0,0.0,36.0,2561.0,-83.0,-38.0,-80.0,-73.0,-59.0,28.0
2020-03-15T17:00:00,234.0,521.0,98.0,468.0,0.0,46.0,2946.0,-90.0,-61.0,-82.0,-78.0,-56.0,24.0
2020-03-16T17:00:00,109.0,528.0,110.0,547.0,0.0,57.0,3225.0,-72.0,-35.0,-67.0,-68.0,-54.0,27.0
2020-03-17T17:00:00,129.0,599.0,109.0,594.0,0.0,69.0,3225.0,-75.0,-41.0,-68.0,-69.0,-57.0,29.0
2020-03-18T17:00:00,197.0,638.0,119.0,719.0,0.0,92.0,4109.0,-77.0,-42.0,-73.0,-70.0,-58.0,30.0
2020-03-19T17:00:00,169.0,656.0,141.0,825.0,0.0,115.0,4512.0,-77.0,-42.0,-72.0,-72.0,-59.0,31.0
2020-03-20T17:00:00,244.0,704.0,138.0,1002.0,0.0,137.0,5170.0,-78.0,-37.0,-78.0,-74.0,-61.0,33.0
2020-03-21T17:00:00,172.0,742.0,141.0,1114.0,2.0,154.0,5740.0,-86.0,-47.0,-87.0,-79.0,-64.0,30.0
2020-03-22T17:00:00,268.0,816.0,138.0,1277.0,6.0,184.0,6391.0,-95.0,-88.0,-92.0,-85.0,-64.0,27.0
2020-03-23T17:00:00,148.0,882.0,148.0,1328.0,8.0,203.0,6782.0,-78.0,-42.0,-82.0,-77.0,-67.0,33.0
2020-03-24T17:00:00,167.0,862.0,149.0,1486.0,8.0,231.0,7229.0,-81.0,-49.0,-83.0,-78.0,-69.0,34.0
2020-03-25T17:00:00,198.0,938.0,148.0,1553.0,8.0,287.0,7896.0,-83.0,-51.0,-84.0,-79.0,-71.0,35.0
2020-03-26T17:00:00,180.0,977.0,166.0,1652.0,9.0,310.0,8623.0,-84.0,-52.0,-85.0,-80.0,-73.0,38.0
2020-03-27T17:00:00,82.0,979.0,162.0,1709.0,10.0,336.0,9060.0,-83.0,-45.0,-86.0,-80.0,-73.0,39.0
2020-03-28T17:00:00,177.0,987.0,166.0,1846.0,10.0,364.0,9884.0,-87.0,-51.0,-88.0,-81.0,-67.0,31.0
2020-03-29T17:00:00,185.0,1000.0,168.0,1992.0,12.0,386.0,10431.0,-95.0,-88.0,-91.0,-86.0,-64.0,26.0
2020-03-30T17:00:00,126.0,998.0,167.0,2086.0,16.0,417.0,10979.0,-79.0,-46.0,-79.0,-76.0,-70.0,33.0
2020-03-31T17:00:00,141.0,946.0,169.0,2237.0,21.0,452.0,11724.0,-90.0,-42.0,-81.0,-76.0,-71.0,35.0
2020-04-01T17:00:00,137.0,984.0,168.0,2304.0,29.0,477.0,12296.0,-90.0,-39.0,-79.0,-73.0,-70.0,35.0
2020-04-02T17:00:00,136.0,986.0,164.0,2405.0,40.0,503.0,12943.0,-90.0,-39.0,-77.0,-73.0,-70.0,35.0
2020-04-03T17:00:00,132.0,982.0,158.0,2491.0,42.0,557.0,13678.0,-84.0,-34.0,-79.0,-75.0,-70.0,37.0
2020-04-04T17:00:00,111.0,997.0,153.0,2347.0,270.0,574.0,14472.0,-89.0,-44.0,-87.0,-79.0,-65.0,31.0
