,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,36.0,9.0,0.0,-1.0
2020-02-25T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,47.0,26.0,-1.0,-2.0
2020-02-26T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,13.0,-1.0,2.0,11.0,7.0,1.0,-1.0
2020-02-27T18:00:00,1.0,1.0,0.0,0.0,0.0,0.0,33.0,1.0,2.0,22.0,5.0,2.0,-1.0
2020-02-28T18:00:00,0.0,1.0,0.0,0.0,0.0,0.0,33.0,-4.0,-1.0,-12.0,1.0,1.0,0.0
2020-02-29T17:00:00,1.0,2.0,0.0,0.0,0.0,0.0,43.0,1.0,4.0,-3.0,5.0,1.0,0.0
2020-03-01T17:00:00,3.0,3.0,0.0,2.0,0.0,0.0,52.0,1.0,3.0,6.0,7.0,0.0,-1.0
2020-03-02T18:00:00,0.0,3.0,0.0,2.0,0.0,0.0,52.0,1.0,6.0,34.0,8.0,0.0,0.0
2020-03-03T18:00:00,1.0,5.0,0.0,1.0,0.0,0.0,52.0,2.0,17.0,54.0,20.0,3.0,-2.0
2020-03-04T17:00:00,1.0,7.0,0.0,0.0,0.0,0.0,85.0,-2.0,5.0,-4.0,-11.0,0.0,1.0
2020-03-05T17:00:00,1.0,8.0,0.0,0.0,0.0,0.0,96.0,-4.0,7.0,13.0,-16.0,-15.0,5.0
2020-03-06T17:00:00,1.0,9.0,0.0,0.0,0.0,0.0,96.0,-9.0,3.0,-3.0,-22.0,-16.0,6.0
2020-03-07T18:00:00,2.0,11.0,0.0,0.0,0.0,0.0,123.0,-18.0,6.0,-17.0,-31.0,-17.0,8.0
2020-03-08T18:00:00,6.0,14.0,0.0,3.0,0.0,0.0,163.0,-27.0,10.0,-13.0,-32.0,-9.0,7.0
2020-03-09T18:00:00,13.0,25.0,0.0,5.0,0.0,0.0,237.0,-23.0,5.0,-6.0,-38.0,-22.0,9.0
2020-03-10T18:00:00,8.0,17.0,9.0,11.0,0.0,1.0,310.0,-41.0,1.0,-35.0,-51.0,-31.0,15.0
2020-03-11T17:00:00,0.0,17.0,9.0,11.0,0.0,1.0,310.0,-52.0,-18.0,-36.0,-60.0,-38.0,18.0
2020-03-12T17:00:00,46.0,47.0,12.0,19.0,4.0,2.0,867.0,-70.0,-29.0,-61.0,-67.0,-50.0,24.0
2020-03-13T17:00:00,5.0,42.0,14.0,27.0,4.0,2.0,958.0,-74.0,-32.0,-65.0,-72.0,-56.0,28.0
2020-03-14T17:00:00,23.0,51.0,14.0,41.0,4.0,2.0,1232.0,-82.0,-42.0,-76.0,-79.0,-61.0,27.0
2020-03-15T17:00:00,25.0,72.0,28.0,28.0,6.0,3.0,1419.0,-90.0,-60.0,-82.0,-86.0,-58.0,23.0
2020-03-16T17:00:00,39.0,71.0,37.0,57.0,7.0,4.0,1533.0,-73.0,-38.0,-67.0,-75.0,-58.0,26.0
2020-03-17T17:00:00,53.0,94.0,32.0,90.0,7.0,6.0,1688.0,-75.0,-43.0,-66.0,-76.0,-60.0,27.0
2020-03-18T17:00:00,34.0,99.0,41.0,109.0,7.0,7.0,2054.0,-77.0,-44.0,-72.0,-78.0,-61.0,28.0
2020-03-19T17:00:00,122.0,181.0,47.0,138.0,8.0,11.0,2409.0,-77.0,-46.0,-72.0,-79.0,-63.0,29.0
2020-03-20T17:00:00,64.0,190.0,48.0,184.0,10.0,17.0,2695.0,-79.0,-42.0,-77.0,-81.0,-63.0,32.0
2020-03-21T17:00:00,80.0,185.0,44.0,265.0,13.0,22.0,3035.0,-85.0,-49.0,-85.0,-85.0,-65.0,28.0
2020-03-22T17:00:00,58.0,218.0,49.0,272.0,15.0,33.0,3375.0,-94.0,-82.0,-90.0,-89.0,-64.0,25.0
2020-03-23T17:00:00,76.0,228.0,52.0,325.0,20.0,38.0,3674.0,-78.0,-44.0,-81.0,-83.0,-67.0,30.0
2020-03-24T17:00:00,26.0,234.0,57.0,331.0,21.0,46.0,4294.0,-83.0,-55.0,-83.0,-83.0,-71.0,33.0
2020-03-25T17:00:00,124.0,248.0,59.0,431.0,23.0,52.0,4982.0,-82.0,-53.0,-84.0,-83.0,-71.0,33.0
2020-03-26T17:00:00,133.0,280.0,64.0,516.0,23.0,63.0,5488.0,-84.0,-58.0,-85.0,-84.0,-72.0,34.0
2020-03-27T17:00:00,71.0,289.0,71.0,565.0,24.0,68.0,6109.0,-81.0,-46.0,-84.0,-85.0,-71.0,35.0
2020-03-28T17:00:00,116.0,311.0,70.0,646.0,30.0,76.0,7003.0,-86.0,-53.0,-88.0,-87.0,-67.0,30.0
2020-03-29T17:00:00,160.0,329.0,68.0,772.0,36.0,88.0,7730.0,-94.0,-84.0,-89.0,-90.0,-63.0,24.0
2020-03-30T17:00:00,52.0,322.0,69.0,778.0,74.0,102.0,7948.0,-79.0,-46.0,-78.0,-82.0,-68.0,30.0
2020-03-31T17:00:00,56.0,335.0,73.0,783.0,95.0,115.0,8758.0,-91.0,-43.0,-79.0,-81.0,-70.0,32.0
2020-04-01T17:00:00,35.0,342.0,71.0,798.0,102.0,123.0,9610.0,-90.0,-39.0,-79.0,-79.0,-69.0,31.0
2020-04-02T17:00:00,61.0,341.0,75.0,835.0,113.0,133.0,10647.0,-89.0,-39.0,-77.0,-79.0,-68.0,32.0
2020-04-03T17:00:00,66.0,361.0,76.0,864.0,116.0,146.0,11890.0,-83.0,-35.0,-80.0,-82.0,-68.0,33.0
2020-04-04T17:00:00,65.0,354.0,71.0,931.0,119.0,153.0,12837.0,-88.0,-43.0,-86.0,-86.0,-65.0,29.0
2020-04-05T17:00:00,75.0,347.0,67.0,1006.0,125.0,158.0,13598.0,-95.0,-79.0,-90.0,-89.0,-62.0,25.0
2020-04-06T17:00:00,18.0,340.0,66.0,1019.0,127.0,169.0,14198.0,-81.0,-35.0,-77.0,-81.0,-65.0,29.0
2020-04-07T17:00:00,78.0,337.0,67.0,1087.0,136.0,172.0,14904.0,-80.0,-34.0,-75.0,-80.0,-66.0,30.0
2020-04-08T17:00:00,60.0,331.0,62.0,1141.0,146.0,179.0,15846.0,-80.0,-32.0,-77.0,-80.0,-66.0,29.0
2020-04-09T17:00:00,72.0,306.0,57.0,1203.0,171.0,194.0,16847.0,-79.0,-27.0,-76.0,-79.0,-66.0,30.0
2020-04-10T17:00:00,83.0,305.0,53.0,1277.0,181.0,198.0,18088.0,-80.0,-22.0,-78.0,-81.0,-68.0,32.0
