,nuovi_positivi,ricoverati_con_sintomi,terapia_intensiva,isolamento_domiciliare,dimessi_guariti,deceduti,tamponi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-24T18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,41.0,8.0,1.0,-1.0
2020-02-25T18:00:00,1.0,1.0,0.0,0.0,0.0,0.0,39.0,0.0,3.0,-10.0,2.0,-1.0,0.0
2020-02-26T18:00:00,10.0,6.0,0.0,5.0,0.0,0.0,66.0,-5.0,-4.0,-20.0,-2.0,-2.0,1.0
2020-02-27T18:00:00,8.0,9.0,0.0,10.0,0.0,0.0,78.0,1.0,1.0,19.0,3.0,0.0,0.0
2020-02-28T18:00:00,0.0,9.0,0.0,10.0,0.0,0.0,112.0,-1.0,0.0,10.0,1.0,0.0,-1.0
2020-02-29T17:00:00,23.0,4.0,1.0,33.0,4.0,0.0,121.0,1.0,2.0,20.0,4.0,-1.0,-1.0
2020-03-01T17:00:00,-17.0,12.0,1.0,8.0,4.0,0.0,121.0,7.0,7.0,50.0,6.0,0.0,-1.0
2020-03-02T18:00:00,-3.0,12.0,1.0,5.0,4.0,0.0,121.0,1.0,6.0,42.0,8.0,1.0,-1.0
2020-03-03T18:00:00,2.0,12.0,2.0,5.0,4.0,1.0,121.0,-2.0,15.0,-8.0,-3.0,-3.0,1.0
2020-03-04T17:00:00,2.0,10.0,3.0,8.0,4.0,1.0,133.0,-3.0,2.0,20.0,-11.0,-12.0,4.0
2020-03-05T17:00:00,2.0,11.0,3.0,7.0,4.0,3.0,146.0,-20.0,-10.0,-36.0,-26.0,-15.0,8.0
2020-03-06T17:00:00,4.0,12.0,5.0,7.0,5.0,3.0,229.0,-4.0,5.0,41.0,-15.0,-14.0,5.0
2020-03-07T18:00:00,19.0,26.0,6.0,10.0,5.0,4.0,331.0,-13.0,3.0,32.0,-10.0,-3.0,3.0
2020-03-08T18:00:00,27.0,39.0,11.0,17.0,5.0,6.0,401.0,-21.0,4.0,3.0,-18.0,-7.0,4.0
2020-03-09T18:00:00,31.0,60.0,17.0,20.0,5.0,7.0,611.0,-31.0,-8.0,-42.0,-38.0,-22.0,11.0
2020-03-10T18:00:00,32.0,57.0,29.0,42.0,5.0,8.0,694.0,-39.0,-2.0,-24.0,-42.0,-29.0,14.0
2020-03-11T17:00:00,53.0,74.0,34.0,73.0,5.0,8.0,1025.0,-50.0,-15.0,-41.0,-50.0,-36.0,18.0
2020-03-12T17:00:00,80.0,100.0,36.0,107.0,20.0,11.0,1174.0,-70.0,-26.0,-69.0,-64.0,-48.0,25.0
